expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments
7/3/22,Walmart of Towson,1238 Putty Hill Avenue  Towson  Maryland 21286,Business/Group/Organization,32.87,Ertel  Michael P. Friends of,Field Expenses,Event or Fair Booth Expenses,NA,Debit Card,NA,Electoral,NA
6/13/22,United States Postal Service,16501 Shady Grove Rd  Gaithersburg  Maryland 20898,Business/Group/Organization,316.31,Schwartz  Paul for Montgomery County,Postage,Mailing Service,NA,Check,NA,Electoral,NA
6/13/22,Print 1 Printing & Copying,4715 Miller Ave  Bethesda  Maryland 20814,Business/Group/Organization,211.36,Schwartz  Paul for Montgomery County,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,NA
6/13/22,The UPS Store #0584,977 Seminole Trl  Charlottesville  Virginia 22901,Business/Group/Organization,33.07,Schwartz  Paul for Montgomery County,Postage,Postage,NA,Check,NA,Electoral,Cks 116 & 117 Next Day
6/20/22,abc write design,8300 Wisconsin Ave Apt 938  Bethesda  Maryland 20814,Business/Group/Organization,156,Schwartz  Paul for Montgomery County,Media,Graphic Design,NA,Check,NA,Electoral,Bethesda Beat Ad Design
6/21/22,Bethesda Magazine,6116 Executive Blvd Ste 740  Rockville  Maryland 20852,Business/Group/Organization,400,Schwartz  Paul for Montgomery County,Media,Newspaper,NA,Check,NA,Electoral,2 Bethesda Beat Insertions
6/27/22,AIA Services  LLC,8148 Solutions Center  Chicago  Illinois 69677,Business/Group/Organization,533.03,Schwartz  Paul for Montgomery County,Printing and Campaign Materials,Printing - Brochures,NA,Check,NA,Electoral,palm cards
7/1/22,Text t0 Survey,1527 S. Cooper St  Arlington  Texas 76010,Business/Group/Organization,78.3,Schwartz  Paul for Montgomery County,Other Expenses,Phones / Robo calls,NA,Check,Paul K. Schwartz,Electoral,Txt Messaging
7/1/22,The UPS Store #4232,3470 Olney-Laytonsville Rd  Olney  Maryland 20832,Business/Group/Organization,125.08,Schwartz  Paul for Montgomery County,Printing and Campaign Materials,Printing - Copies,NA,Check,Paul K. Schwartz,Electoral,Flyer copies
6/9/22,Vantiv  LLC,8500 Governors Hill Dr  Symmes Township  Ohio 45249,Business/Group/Organization,8.25,Schwartz  Paul for Montgomery County,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,Fee netted against Doyle
6/10/22,Nyah Hines,375 Meadow Creek Dr  Westminster  Maryland 21158,Individual,500,Attar  Dalya for Baltimore,Field Expenses,Other,NA,Check,NA,Electoral,distribute door hangers
6/27/22,Parsonsburg Volunteer Fire Co.,P.O. BOX 208  PARSONSBURG  Maryland 21849,Business/Group/Organization,100,Dykes  Jamie L. Citizens For,Fund Raiser,Fundraiser - Hall /Venue Rental,NA,Check,NA,Electoral,NA
6/27/22,THE PAPER PEOPLE,606 S. SCHUMAKER DR  SALISBURY  Maryland 21804,Business/Group/Organization,645.66,Dykes  Jamie L. Citizens For,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Check,NA,Electoral,NA
6/27/22,MIKE HICKMAN,6 CHURCH ST  BERLIN  Maryland 21811,Individual,480,Dykes  Jamie L. Citizens For,Fund Raiser,Fundraiser - Food & Beverage,NA,Check,NA,Electoral,NA
6/9/22,T&S ENTERTAINMENT GROUP LLC,32582 MOUNT OLIVE RD  SALISBURY  Maryland 21804,Business/Group/Organization,100,Dykes  Jamie L. Citizens For,Fund Raiser,Fundraiser - Entertainment,NA,Check,NA,Electoral,NA
6/17/22,JAMIE LYNN  DYKES,P.O. Box 4211  Salisbury  Maryland 21803,Self (Candidate),278.91,Dykes  Jamie L. Citizens For,Field Expenses,Other,NA,NA,NA,Electoral,SIGN MATERIALS
6/10/22,Tangerine Creative,PO Box 368  Welcome  Maryland 20693,Business/Group/Organization,477.75,Rucci  Bobby Elect,Other Expenses,Graphic Design,NA,Check,NA,Electoral,NA
6/24/22,Beidle  Pam Friends of,P O Box 397  Linthicum  Maryland 21090,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Elfreth  Sarah Friends of,107 Arnold Overlook Lane  Arnold  Maryland 21012,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Feldman  Brian Citizens For,P.O. Box 34408  Bethesda  Maryland 20827,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Jackson  Michael A.  Friends of,PO BOX 701  Cheltenham  Maryland 20623,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Klausmeier  Kathy Friends Of,2922 Fleetwood Avenue  Baltimore  Maryland 21214,Candidate Committee,500,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,McCray  Cory Friends of,P.O. Box 18741  Baltimore  Maryland 21206,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Rosapepe  Jim Friends Of,8209 Water Lily Way  Laurel  Maryland 20724,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Smith  Will for Maryland,514 Waterford Road  Silver Spring  Maryland 20901,Candidate Committee,500,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,West  Chris Friends of,PO  Box 5641  Baltimore  Maryland 21210,Candidate Committee,500,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Zucker  Craig Friends Of,P.O. Box 1037  Olney  Maryland 20830,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Buckel  (Jason) for Delegatee,1041 Braddock Road  Cumberland  Maryland 21502,Candidate Committee,1000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Attar  Dalya for Baltimore,3311 FALLSTAFF ROAD  BALTIMORE  Maryland 21215,Candidate Committee,500,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Atterbeary  Vanessa Committee to Elect,7532-2 Morris Street  Fulton  Maryland 20759,Candidate Committee,2000,Thoroughbred Horsemen's PAC,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/9/22,Harbor Freight Quality Tools,1901-C Pulaski Highway  Edgewood  Maryland 21040,Business/Group/Organization,243.79,Boniface  Billy Friends Of,Other Expenses,Other,NA,Debit Card,NA,Electoral,Supplies and tools for sign installation
6/13/22,Karen Dunbar,2504 Palmer View Drive  Bel Air  Maryland 21015,Individual,125.81,Boniface  Billy Friends Of,Rent and Other Office expenses,Office Supplies,NA,Electronic Check,NA,Electoral,office supplies
6/16/22,Google Ads,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,500,Boniface  Billy Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,NA
6/17/22,Allsign Products  Inc.,200 N. Tollgate Road  P.O. Box 986  Bel Air  Maryland 21014,Business/Group/Organization,1743.7,Boniface  Billy Friends Of,Printing and Campaign Materials,Printing - Yard Signs,NA,Electronic Check,NA,Electoral,NA
6/14/22,Mason Dixon Fair,6988 Delta Road  Delta  Pennsylvania 17314,Business/Group/Organization,500,Boniface  Billy Friends Of,Other Expenses,Other,NA,Debit Card,NA,Electoral,Fair sponsorship
6/11/22,Newhall Strategies,402 North Hickory Avenue  Apt B  Bel Air  Maryland 21014,Business/Group/Organization,400,Boniface  Billy Friends Of,Salaries and Other compensation,Professional - Accounting,NA,Check,NA,Electoral,22-Jun
6/21/22,Home Depot,979 Beards Hill Road  Aberdeen  Maryland 21001,Business/Group/Organization,50.76,Boniface  Billy Friends Of,Printing and Campaign Materials,Billboards / Outdoor Advertising,NA,Debit Card,NA,Electoral,Materials for sign installation
6/13/22,United States Postal Service,202 Blum Court  Bel Air  Maryland 21014-4318,Business/Group/Organization,9382.38,Boniface  Billy Friends Of,Postage,Postage,NA,Check,NA,Electoral,Postage for mailer
6/9/22,Ruleau-Riggin  Heather Friends of,599 Henderson Road  Belair  Maryland 21014,Candidate Committee,250,Boniface  Billy Friends Of,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Check,NA,Electoral,NA
6/24/22,Walter  Teresa Committee to Elect,415 Timonium Court  Havre de Grace  Maryland 21078,Candidate Committee,100,Boniface  Billy Friends Of,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,NA,Debit Card,NA,Electoral,NA
6/29/22,Eichhorn Printing,10534 York Road  Suite 103  Hunt Valley  Maryland 21030,Business/Group/Organization,6349.4,Boniface  Billy Friends Of,Printing and Campaign Materials,Printing - Brochures,NA,Debit Card,NA,Electoral,Mailer printing costs
6/27/22,Google Ads,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,500,Boniface  Billy Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,NA
6/27/22,United States Postal Service,202 Blum Court  Bel Air  Maryland 21014-4318,Business/Group/Organization,290,Boniface  Billy Friends Of,Postage,Postage,NA,Debit Card,NA,Electoral,NA
6/23/22,United States Postal Service,202 Blum Court  Bel Air  Maryland 21014-4318,Business/Group/Organization,9224.62,Boniface  Billy Friends Of,Postage,Postage,NA,Check,NA,Electoral,Postage for mailer
6/30/22,Yorktowne Sports,201 Gateway Drive  Bel Air  Maryland 21014,Business/Group/Organization,272.36,Boniface  Billy Friends Of,Printing and Campaign Materials,Printing Give away items (buttons bumper stickers t-shirts),NA,Electronic Check,NA,Electoral,Tee shirt order
6/30/22,Sonipak Design & Marketing,4106 Belle Farm Court  Pylesville  Maryland 21132,Business/Group/Organization,6600,Boniface  Billy Friends Of,Media,Graphic Design,NA,Electronic Check,NA,Electoral,June invoice
7/1/22,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,900,Boniface  Billy Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,NA
6/9/22,Google Ads,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,500,Boniface  Billy Friends Of,Media,Online Advertising,NA,EFT,NA,Electoral,NA
6/27/22,Zoom US,55 Almaden Blvd  San Jose  California 95113,Business/Group/Organization,14.99,Pittman  Steuart Friends of,Rent and Other Office expenses,Utilities - Phone / Cell Phone,NA,Debit Card,NA,Electoral,NA
6/27/22,CANVA,200 E. 6th St.  Austin  Texas 78701,Business/Group/Organization,8.35,Pittman  Steuart Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/24/22,CANVA,200 E. 6th St.  Austin  Texas 78701,Business/Group/Organization,12.99,Pittman  Steuart Friends of,Media,Graphic Design,NA,Debit Card,NA,Electoral,NA
6/21/22,Truist,80 Central Ave  Edgewater  Maryland 21037,Business/Group/Organization,15,Pittman  Steuart Friends of,Other Expenses,Bank Charges,NA,Debit Card,NA,Electoral,NA
6/21/22,GoDaddy.com LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,143.88,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA
6/21/22,Guitar Center of Glen Burnie,6320 Ritchie Hwy  Glen Burnie  Maryland 21061,Business/Group/Organization,123,Pittman  Steuart Friends of,Field Expenses,Fair Expenses -General,NA,Debit Card,NA,Electoral,NA
6/21/22,Bitly.com,139 5th Avenue  New York  New York 10010,Business/Group/Organization,96,Pittman  Steuart Friends of,Media,Media - Website Development,NA,Debit Card,NA,Electoral,NA
6/17/22,Baltimore Sun,501 N. Calvert St.  PO Box 1377  Baltimore  Maryland 21278,Business/Group/Organization,16.92,Pittman  Steuart Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/15/22,BGE,PO BOX 13070  PHILADELPHIA  Pennsylvania 19101,Business/Group/Organization,192.7,Pittman  Steuart Friends of,Rent and Other Office expenses,Utilities - Electrical,NA,Credit Card/Visa,NA,Electoral,NA
6/15/22,BGE,PO BOX 13070  PHILADELPHIA  Pennsylvania 19101,Business/Group/Organization,5.95,Pittman  Steuart Friends of,Rent and Other Office expenses,Utilities - Electrical,NA,Credit Card/Visa,NA,Electoral,NA
6/13/22,Sean Gregory,8 N. Charles St.  Baltimore  Maryland 21201,Individual,4000,Pittman  Steuart Friends of,Salaries and Other compensation,Consulting Fees - General,NA,EFT,NA,Electoral,NA
6/13/22,Selamawit Gebregziabher,500 William St. Apt504  Oakland  California 94612,Individual,2916.67,Pittman  Steuart Friends of,Salaries and Other compensation,Consulting Fees - General,NA,EFT,NA,Electoral,NA
6/13/22,Abbas Mahar,14039 Leetown Road  Kearneysville  West Virginia 25430,Individual,1700,Pittman  Steuart Friends of,Salaries and Other compensation,Consulting Fees - General,NA,EFT,NA,Electoral,NA
6/13/22,Target - Glen Burnie,6717 Ritchie Highway  Glen Burnie  Maryland 21061,Business/Group/Organization,18.83,Pittman  Steuart Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/8/22,Caliente Grill - Annapolis,907 Bay Ridge Road  Annapolis  Maryland 21403,Business/Group/Organization,866.32,Pittman  Steuart Friends of,Fund Raiser,Fundraiser - Food & Beverage,NA,Debit Card,NA,Electoral,NA
6/8/22,Caliente Grill - Annapolis,907 Bay Ridge Road  Annapolis  Maryland 21403,Business/Group/Organization,7.71,Pittman  Steuart Friends of,Fund Raiser,Fundraiser - Food & Beverage,NA,Debit Card,NA,Electoral,NA
6/8/22,GMASS,2805 E. Park Blved  www.gmass.com  Plano  Texas 75074,Business/Group/Organization,19.95,Pittman  Steuart Friends of,Rent and Other Office expenses,Office Supplies,NA,Debit Card,NA,Electoral,NA
6/25/22,James Lyons,1403 Central Ave E  Edgewater  Maryland 21037,Individual,500,Pittman  Steuart Friends of,Return Contributions,NA,NA,Check,NA,Electoral,NA
6/27/22,Dunkin Donut,7984 Crain Hwy S  Glen Burnie  Maryland 21601,Business/Group/Organization,32.98,Pittman  Steuart Friends of,Other Expenses,Meeting Expenses,NA,Debit Card,NA,Electoral,NA
6/30/22,Brian E.  Frosh,4820 Grantham Avenue  Chevy Chase  Maryland 20815,Self (Candidate),5000,Frosh  (Brian) Citizens For,Candidate Loan Payment,NA,NA,Check,NA,Electoral,NA
6/30/22,Brian E.  Frosh,4820 Grantham Avenue  Chevy Chase  Maryland 20815,Self (Candidate),0,Frosh  (Brian) Citizens For,Interest,NA,NA,Check,NA,Electoral,NA
6/30/22,Brian E.  Frosh,4820 Grantham Avenue  Chevy Chase  Maryland 20815,Self (Candidate),30000,Frosh  (Brian) Citizens For,Candidate Loan Payment,NA,NA,Check,NA,Electoral,NA
6/30/22,Brian E.  Frosh,4820 Grantham Avenue  Chevy Chase  Maryland 20815,Self (Candidate),0,Frosh  (Brian) Citizens For,Interest,NA,NA,Check,NA,Electoral,NA
6/21/22,Hilltop Public Solutions,3000 K St NW  Ste 320  Washington  District Of Columbia 20007,Business/Group/Organization,120.78,Frosh  (Brian) Citizens For,Media,Media - Website Development,NA,Check,NA,Electoral,Domain Registrations
6/21/22,Truist Bank,7221 Wisconsin Ave  Bethesda  Maryland 20814,Business/Group/Organization,4,Frosh  (Brian) Citizens For,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,Bank Fees
6/8/22,Truist Bank,612 Frederick Road  Catonsville  Maryland 21228,Business/Group/Organization,76.08,Team 12A Slate,Other Expenses,Bank Charges,NA,Electronic Check,NA,Electoral,NA
6/15/22,United States Postal Service,1001 Frederick Road  n/a  Catonsville  Maryland 21228,Business/Group/Organization,18.25,Team 12A Slate,Postage,Postage,NA,Cash,NA,Electoral,NA
6/23/22,Blue Nation Strategies LLC,5900 Harwick Road  n/a  Bethesda  Maryland 20816,Business/Group/Organization,17501.2,Team 12A Slate,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,For the payment itself  a temporary check was used.
6/21/22,NA,NA,Reimburse,44.45,Team 12A Slate,Postage,Postage,NA,Check,FedEx,Electoral,An overnight envelope was purchased  acquired  and used; Fed Ex ultimately received the $44.45 payment.
6/28/22,Howard County Democratic Central Committee,5011 Green Mountain Circle  Unit #6  n/a  Columbia  Maryland 21044,Business/Group/Organization,500,Team 12A Slate,Fund Raiser,Fundraiser -General Expenses,NA,Check,NA,Electoral,The check was mailed specifically to the HCDCC's treasurer  Dhaval Shah.
7/1/22,NA,NA,Reimburse,60.83,Team 12A Slate,Other Expenses,Other,NA,Check,Walmart,Electoral,With his credit card  Senator Clarence Lam bought some candies at Walmart to hand out to children at a Fourth of July parade; therefore  he was in need of a reimbursement.
6/30/22,NA,NA,Reimburse,2263.12,Team 12A Slate,Postage,Postage,NA,Check,Creative Print Group,Electoral,NA
6/27/22,NA,NA,Reimburse,153.46,Team 12A Slate,Other Expenses,Other,NA,Check,Dr. Don's: Buttons,NA,Electoral
7/1/22,PNC Bank,123 North St  Elkton  Maryland 21921,Business/Group/Organization,2,Dellmyer  James Citizens for,Other Expenses,Bank Charges,NA,EFT,NA,Electoral,NA
6/13/22,Allsign Products  Inc.,200 N. Tollgate Road  P.O. Box 986  Bel Air  Maryland 21014,Business/Group/Organization,1091.8,Boniface  Billy Friends Of,Outstanding Obligation Paid,NA,NA,Electronic Check,NA,Electoral,NA
6/13/22,Allsign Products  Inc.,200 N. Tollgate Road  P.O. Box 986  Bel Air  Maryland 21014,Business/Group/Organization,185.5,Boniface  Billy Friends Of,Outstanding Obligation Paid,NA,NA,Electronic Check,NA,Electoral,NA
6/9/22,Skylight Creative Ideas,13 North Main Street  Bel Air  Maryland 21014,Business/Group/Organization,1232,Boniface  Billy Friends Of,Outstanding Obligation Paid,NA,NA,Electronic Check,NA,Electoral,NA
6/15/22,Maryland Horse Breeders Association  Inc,PO Box 427  Timonium  Maryland 21094,Business/Group/Organization,500,Pittman  Steuart Friends of,Return Contributions,NA,NA,Check,NA,Electoral,NA
7/2/22,PayPal,2211 North First St.  San Jose  California 95131,Business/Group/Organization,17.15,Benn  Sarahia Friends to Elect,Other Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Paypal fees for contributions through that site.
7/1/22,Burger King,1006 Beards Hill Rd  Aberdeen  Maryland 21001,Business/Group/Organization,10.27,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
7/2/22,Royal Farms,1021 Middleton Rd.  Aberdeen  Maryland 21001,Business/Group/Organization,37.01,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Gas for canvassing
7/1/22,Home Depot,979 Beards Hill Rd  Aberdeen  Maryland 21001,Business/Group/Organization,5.28,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Wood for signs.
6/22/22,Buffalo Wild Wings,5 Bel Air South Parkway  Bel Air  Maryland 21015,Business/Group/Organization,30.66,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/26/22,Venetian Palace,1901 Tree Top Drive  Edgewood  Maryland 21040,Business/Group/Organization,31.06,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/26/22,Shell,1855 Pulaski Hwy  Edgewood  Maryland 21040,Business/Group/Organization,40.07,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Gas for canvassing.
6/25/22,Venetian Palace,1901 Tree Top Drive  Edgewood  Maryland 21040,Business/Group/Organization,82.64,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/14/22,Wawa,231 N philadelphia rd  Aberdeen  Maryland 21001,Business/Group/Organization,6.04,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/13/22,Target,1025 Middleton Rd  Aberdeen  Maryland 21001,Business/Group/Organization,15.59,Benn  Sarahia Friends to Elect,Other Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Equipment for the campaign.
6/14/22,Target,1025 Middleton Rd  Aberdeen  Maryland 21001,Business/Group/Organization,24.46,Benn  Sarahia Friends to Elect,Printing and Campaign Materials,Printing - Copies,NA,Credit Card/Visa,NA,Electoral,NA
6/10/22,Home Depot,979 Beards Hill Rd  Aberdeen  Maryland 21001,Business/Group/Organization,16.8,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Nails and wood for the campaign signs.
6/15/22,Northsida Liquors,210 N Philadelphia rd.  Aberdeen  Maryland 21001,Business/Group/Organization,7.62,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,Water and sodas were purchased while canvassing.
6/16/22,Royal Farms,1021 Middelton rd.  Aberdeen  Maryland 21001,Business/Group/Organization,40.11,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Gas for canvassing.
6/17/22,McDonalds,999 Beards Hill Rd  Aberdeen  Maryland 21001,Business/Group/Organization,14.28,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/17/22,Alina's Asian Cuisine,310 S. Philadelphia  Aberdeen  Maryland 21001,Business/Group/Organization,23.84,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
6/21/22,Checkers,1926 Pulaski Highway  Edgewood  Maryland 21040,Business/Group/Organization,9.53,Benn  Sarahia Friends to Elect,Field Expenses,Volunteer Meals,NA,Credit Card/Visa,NA,Electoral,NA
7/1/22,Royal Farms,1021 Middelton rd.  Aberdeen  Maryland 21001,Business/Group/Organization,23,Benn  Sarahia Friends to Elect,Field Expenses,Other,NA,Credit Card/Visa,NA,Electoral,Gas for canvassing.
6/22/22,Virginia McGraw,8055 Settle COurt  Waldorf  Maryland 20603,Individual,325.17,"Wilson  Latina ""Tina"" Committee to Elect",Other Expenses,Other,NA,Debit Card,NA,Electoral,Reimbursement
6/21/22,Quality Printers LLC,10485 Theodore Green  White Plains  Maryland 20695,Business/Group/Organization,3328.86,"Wilson  Latina ""Tina"" Committee to Elect",Postage,Mailing Service,NA,Check,NA,Electoral,Postage for Mailer
6/29/22,NA,NA,Reimburse,130,Hettleman  Shelly Friends of,Other Expenses,Volunteer Meals,NA,Check,Nothing Bundt Cakes,Electoral,Refreshments
7/2/22,NA,NA,Reimburse,21.15,Hettleman  Shelly Friends of,Other Expenses,Volunteer Meals,NA,Check,7-Eleven,Electoral,Ice for event
6/13/22,NA,NA,Reimburse,40,Hettleman  Shelly Friends of,Other Expenses,Other,NA,Check,Maryland Board of Elections,Electoral,New District Maps
6/29/22,NA,NA,Reimburse,27.51,Hettleman  Shelly Friends of,Rent and Other Office expenses,Office Supplies,NA,Check,Savings Center,Inc.,Electoral
6/29/22,NA,NA,Reimburse,95.39,Hettleman  Shelly Friends of,Other Expenses,Volunteer Meals,NA,Check,Tov Pizza,Electoral,Food and Beverages
6/29/22,NA,NA,Reimburse,310.82,Hettleman  Shelly Friends of,Other Expenses,Volunteer Meals,NA,Check,Good Guys NY Pizza Kitchen,Electoral,Food and Beverages
6/29/22,NA,NA,Reimburse,1927.08,Hettleman  Shelly Friends of,Printing and Campaign Materials,Printing - Brochures,NA,Check,Pavsner Press,Electoral,Printing
7/2/22,NA,NA,Reimburse,31.8,Hettleman  Shelly Friends of,Rent and Other Office expenses,IT - Campaign IT Maintenance,NA,Check,Google,Inc.,Electoral
7/2/22,NA,NA,Reimburse,44.05,Hettleman  Shelly Friends of,Other Expenses,Other,NA,Check,USPS,Electoral,Postage
7/2/22,NA,NA,Reimburse,38.11,Hettleman  Shelly Friends of,Postage,Postage,NA,Check,The UPS Store #66118,Electoral,Reimb- Express Delivery
7/2/22,Benjamin Whitehurst,12417 Happy Hollow Rd  Cockeysville  Maryland 21030,Individual,450,Hettleman  Shelly Friends of,Salaries and Other compensation,Wages - Campaign Staff,NA,Check,NA,Electoral,Intern Stipend
6/8/22,M&T Bank,25 S Charles St  Baltimore  Maryland 21201,Business/Group/Organization,2,Hettleman  Shelly Friends of,Other Expenses,Bank Charges,NA,Check,NA,Electoral,Bank Fees
6/9/22,Moore Campaigns,111 Quincy Pl NE  Washington  District Of Columbia 20002,Business/Group/Organization,13853.26,Hettleman  Shelly Friends of,Direct Mailing by Mail House (R),Mailing Service,NA,Check,NA,Electoral,Direct Mail Post Card
6/9/22,Ralco Products Co.  Inc.,627 Reisterstown Rd  Baltimore  Maryland 21208,Business/Group/Organization,2261.52,Hettleman  Shelly Friends of,Printing and Campaign Materials,Printing - Yard Signs,NA,Check,NA,Electoral,Printing- Yard Signs
6/28/22,Ralco Products Co.  Inc.,627 Reisterstown Rd  Baltimore  Maryland 21208,Business/Group/Organization,839.58,Hettleman  Shelly Friends of,Printing and Campaign Materials,Printing - Yard Signs,NA,Check,NA,Electoral,Printing- Yard Signs
7/1/22,ActBlue,PO Box 441146  Somerville  Massachusetts 02144-0031,Business/Group/Organization,97.05,Taveras  Deni Friends of,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,Service fee
7/1/22,Doyle Printing,5206 46th Ave  Hyattsville  Maryland 20781,Business/Group/Organization,207.45,Rivera-Oven  Marko Friends of,Media,Media - Website Development,NA,EFT,NA,Electoral,NA
6/22/22,Mark Weiss Associates,7101 Wisconsin Avenue  SUITE 1114  Bethesda  Maryland 20814,Business/Group/Organization,1075.29,Taveras  Deni Friends of,Media,Billboards / Outdoor Advertising,NA,Check,NA,Electoral,4' x 8' signs
6/23/22,Suncar Media LLC,717 Hollywood Ave  Silver Spring  Maryland 20904,Business/Group/Organization,5000,Taveras  Deni Friends of,Media,Online Advertising,NA,Check,NA,Electoral,Advertising Campaign to vote and podcast with Chepe  Invoice # 0707
6/23/22,PayPal,2211 N. First Street  San Jose  California 95131,Business/Group/Organization,3,Crutchfield  Charlotte Friends of,Other Expenses,Other,NA,EFT,NA,Electoral,Credit card processing fee.
6/21/22,Charles County Fair  Inc.,P.O. Box 968  La Plata  Maryland 20646,Business/Group/Organization,600,Charles County Republican Central Committee,Field Expenses,Event or Fair Booth Expenses,NA,Check,NA,Electoral,2022 Charles County Fair
6/27/22,USPS,6425 Leonardtown Rd  Bryantown  Maryland 20617,Business/Group/Organization,70,Charles County Republican Central Committee,Other Expenses,Other,NA,Check,NA,Electoral,PO Box 314
6/8/22,Act Blue,PO Box 441146  Somerville  Massachusetts 02144-0031,Business/Group/Organization,75.17,Calvert County Democratic Central Committee,Other Expenses,Credit Card Service Processing Charges,NA,EFT,NA,Electoral,NA
6/9/22,Ed Apple,P.O.Box 487  Prince Frederick  Maryland 20678,Individual,1250,Calvert County Democratic Central Committee,Rent and Other Office expenses,Office Rent,NA,Electronic Check,NA,Electoral,NA
