jurisdiction_code,county_name,poll_place_id,poll_name,poll_address1,city,state,zip,legislative_sub_district,legislative_district,congressional_district,judicial_circuit,appellate_circuit,councilmanic_district,election_district,building_type,college_nearby,college_name,is_early_voting_location,election_district_precinct
3,Baltimore City,36993,School No. 34,1327 Washington Blvd.,Baltimore,MD,21230,NA,40,07,08,06,010,21,SCHOOL,NA,NA,NA,021-003
3,Baltimore City,37706,School #22 George Washington Elem,800 Scott ST,Baltimore,MD,21230,NA,46,07,08,06,010,21,SCHOOL,NA,NA,NA,021-004
3,Baltimore City,36784,Christ Church Harbor Apartments Inc.,600 Light Street,Baltimore,MD,21230,NA,46,07,08,06,011,22,OTHER,NA,NA,NA,022-001
3,Baltimore City,36820,Engine House No. 2,800 Light Street,Baltimore,MD,21230,NA,46,07,08,06,011,22,FIRE STATION,NA,NA,NA,022-002
3,Baltimore City,37032,South Baltimore Learning Center,28 E. Ostend Street,Baltimore,MD,21230,NA,46,07,08,06,011,23,OTHER,NA,NA,NA,023-001
3,Baltimore City,37033,Solo Gibbs Rec Center,1044 Leadenhall Street at Cross Street,Baltimore,MD,21230,NA,46,07,08,06,011,23,OTHER,NA,NA,NA,023-002
3,Baltimore City,37685,Ella Bailey Rec Ctr,100 E Heath ST,Baltimore,MD,21230,NA,46,07,08,06,010,23,COMMUNITY CENTER,NA,NA,NA,023-003
3,Baltimore City,36803,School No. 45,1040 William Street,Baltimore,MD,21230,NA,46,07,08,06,011,24,SCHOOL,NA,NA,NA,024-001
3,Baltimore City,37730,School #416 Digital Harbor High,1100 Covington ST,Baltimore,MD,21230,NA,46,07,08,06,011,24,SCHOOL,NA,NA,NA,024-002
3,Baltimore City,37730,School #416 Digital Harbor High,1100 Covington ST,Baltimore,MD,21230,NA,46,07,08,06,011,24,SCHOOL,NA,NA,NA,024-003
3,Baltimore City,37685,Ella Bailey Rec Ctr,100 E Heath ST,Baltimore,MD,21230,NA,46,07,08,06,011,24,COMMUNITY CENTER,NA,NA,NA,024-004
3,Baltimore City,36804,School No. 76,1425 E. Fort Avenue,Baltimore,MD,21230,NA,46,07,08,06,011,24,SCHOOL,NA,NA,NA,024-005
3,Baltimore City,37717,School #246 Beechfield Elem,301 S Beechfield AVE,Baltimore,MD,21229,NA,41,07,08,06,008,25,SCHOOL,NA,NA,NA,025-001
3,Baltimore City,37717,School #246 Beechfield Elem,301 S Beechfield AVE,Baltimore,MD,21229,NA,41,07,08,06,008,25,SCHOOL,NA,NA,NA,025-002
3,Baltimore City,37708,School #226 Violetville Elem/Mid,1207 Pine Hgts AVE,Baltimore,MD,21229,NA,40,07,08,06,009,25,SCHOOL,NA,NA,NA,025-003
3,Baltimore City,36805,School No. 220,2601 Tolley Street,Baltimore,MD,21230,NA,40,07,08,06,010,25,SCHOOL,NA,NA,NA,025-004
3,Baltimore City,37184,Lakeland Recreation Center/School No. 12,2921 Stranden Road,Baltimore,MD,21230,NA,46,07,08,06,010,25,COMMUNITY CENTER,NA,NA,NA,025-005
3,Baltimore City,36806,School No. 225,2401 Nevada Street,Baltimore,MD,21230,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-006
3,Baltimore City,36807,Engine House No. 58,2425 1/2 Annapolis Road,Baltimore,MD,21230,NA,46,07,08,06,010,25,FIRE STATION,NA,NA,NA,025-007
3,Baltimore City,36808,School No. 164,2400 Round Road,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-008
3,Baltimore City,36809,School No. 159 Cherry Hill Elementary School,801 Bridgeview Road,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-009
3,Baltimore City,36809,School No. 159 Cherry Hill Elementary School,801 Bridgeview Road,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-010
3,Baltimore City,37701,School #203 Marie Farring Elem,300 Pontiac AVE,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-011
3,Baltimore City,37701,School #203 Marie Farring Elem,300 Pontiac AVE,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-012
3,Baltimore City,36810,Brooklyn Enoch Pratt Library,300 E. Patapsco Ave,Baltimore,MD,21225,NA,46,07,08,06,010,25,COMMUNITY CENTER,NA,NA,NA,025-013
3,Baltimore City,36811,Brooklyn Homes,4140 Tenth Street,Baltimore,MD,21225,NA,46,07,08,06,010,25,OTHER,NA,NA,NA,025-014
3,Baltimore City,36812,School No. 239,1201 Cambria Street,Baltimore,MD,21225,NA,46,07,08,06,010,25,SCHOOL,NA,NA,NA,025-015
3,Baltimore City,36813,Curtis Bay Recreation Center,1620 Filbert Street,Baltimore,MD,21226,NA,46,07,08,06,010,25,COMMUNITY CENTER,NA,NA,NA,025-016
3,Baltimore City,37708,School #226 Violetville Elem/Mid,1207 Pine Hgts AVE,Baltimore,MD,21229,NA,41,07,08,06,009,25,SCHOOL,NA,NA,NA,025-017
3,Baltimore City,36796,St. Helena Community Association,6509 Colgate Avenue,Baltimore,MD,21222,NA,46,07,08,06,001,26,COMMUNITY CENTER,NA,NA,NA,026-001
3,Baltimore City,37713,School #240 Graceland Park Elem,6300 Odonnell ST,Baltimore,MD,21224,NA,46,07,08,06,001,26,SCHOOL,NA,NA,NA,026-002
3,Baltimore City,37713,School #240 Graceland Park Elem,6300 Odonnell ST,Baltimore,MD,21224,NA,46,07,08,06,001,26,SCHOOL,NA,NA,NA,026-003
3,Baltimore City,36798,School No. 405,100 Kane Street,Baltimore,MD,21224,NA,46,07,08,06,002,26,SCHOOL,NA,NA,NA,026-004
3,Baltimore City,36797,Joseph Lee Field House,5900 E. Pratt Street,Baltimore,MD,21224,NA,46,07,08,06,002,26,OTHER,NA,NA,NA,026-005
3,Baltimore City,37688,Greektown Square And Event Center,700 S Quail ST,Baltimore,MD,21224,NA,46,07,08,06,001,26,OTHER,NA,NA,NA,026-006
3,Baltimore City,37688,Greektown Square And Event Center,700 S Quail ST,Baltimore,MD,21224,NA,46,07,08,06,001,26,OTHER,NA,NA,NA,026-007
3,Baltimore City,36799,Canton Baptist Church,3302 Toone Street,Baltimore,MD,21224,NA,46,07,08,06,001,26,CHURCH,NA,NA,NA,026-008
3,Baltimore City,37747,Southeast Anchor Library,3601 Eastern AVE,Baltimore,MD,21224,NA,46,07,08,06,001,26,LIBRARY,NA,NA,NA,026-009
3,Baltimore City,36800,School No. 215,3223 E. Pratt Street,Baltimore,MD,21224,NA,46,07,08,06,001,26,SCHOOL,NA,NA,NA,026-010
3,Baltimore City,37747,Southeast Anchor Library,3601 Eastern AVE,Baltimore,MD,21224,NA,46,07,08,06,001,26,LIBRARY,NA,NA,NA,026-011
3,Baltimore City,36801,Engine House No. 51,646 N. Highland Avenue,Baltimore,MD,21205,NA,46,07,08,06,001,26,FIRE STATION,NA,NA,NA,026-012
3,Baltimore City,36940,Carroll Cook Recreation Center,5061 E. Eager Street,Baltimore,MD,21205,NA,45,07,08,06,013,26,COMMUNITY CENTER,NA,NA,NA,026-013
3,Baltimore City,36802,School No. 243 Armistead Gardens ES,5001 E. Eager Street,Baltimore,MD,21205,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-014
3,Baltimore City,37186,School No. 105,6001 Frankford Avenue,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-015
3,Baltimore City,37724,School #374  Vanguard Collegiate Middle,5001 Sinclair Lane (Rear) Enter On Truesdale AVE.,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-016
3,Baltimore City,36320,Orchard Ridge III Community Room,4340 Orchard Ridge Boulevard,Baltimore,MD,21213,NA,45,07,08,06,013,26,COMMUNITY CENTER,NA,NA,NA,026-017
3,Baltimore City,37718,School #248 Sinclair Lane Elem,3880 Sinclair LN,Baltimore,MD,21213,NA,45,07,08,06,013,26,SCHOOL,NA,NA,NA,026-018
3,Baltimore City,36321,Enoch Pratt Free Library Herring Run Branch,3801 Erdman Avenue,Baltimore,MD,21213,NA,45,07,08,06,013,26,OTHER,NA,NA,NA,026-019
3,Baltimore City,37710,School #231 The Belair-Edison School,3536 Brehms LN,Baltimore,MD,21213,NA,45,07,08,06,013,26,SCHOOL,NA,NA,NA,026-020
3,Baltimore City,37710,School #231 The Belair-Edison School,3536 Brehms LN,Baltimore,MD,21213,NA,45,07,08,06,013,26,SCHOOL,NA,NA,NA,026-021
3,Baltimore City,37690,Jerusalem Ev Lutheran Church,4605 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,26,CHURCH,NA,NA,NA,026-022
3,Baltimore City,37690,Jerusalem Ev Lutheran Church,4605 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,26,CHURCH,NA,NA,NA,026-023
3,Baltimore City,37724,School #374  Vanguard Collegiate Middle,5001 Sinclair Lane (Rear) Enter On Truesdale AVE.,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-024
3,Baltimore City,37724,School #374  Vanguard Collegiate Middle,5001 Sinclair Lane (Rear) Enter On Truesdale AVE.,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-025
3,Baltimore City,37703,School #211 Gardenville Elem,5300 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-026
3,Baltimore City,37702,School #210 Hazelwood Elem,4517 Hazelwood AVE,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-027
3,Baltimore City,37702,School #210 Hazelwood Elem,4517 Hazelwood AVE,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-028
3,Baltimore City,37702,School #210 Hazelwood Elem,4517 Hazelwood AVE,Baltimore,MD,21206,NA,45,07,08,06,002,26,SCHOOL,NA,NA,NA,026-029
3,Baltimore City,37687,Engine House #54,5821 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,26,FIRE STATION,NA,NA,NA,026-030
3,Baltimore City,37687,Engine House #54,5821 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,26,FIRE STATION,NA,NA,NA,026-031
3,Baltimore City,37710,School #231 The Belair-Edison School,3536 Brehms LN,Baltimore,MD,21213,NA,45,07,08,06,013,26,SCHOOL,NA,NA,NA,026-032
3,Baltimore City,37718,School #248 Sinclair Lane Elem,3880 Sinclair LN,Baltimore,MD,21213,NA,45,07,08,06,013,26,SCHOOL,NA,NA,NA,026-033
3,Baltimore City,37690,Jerusalem Ev Lutheran Church,4605 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,003,27,CHURCH,NA,NA,NA,027-001
3,Baltimore City,37187,Ray of Hope Baptist Church,3000 Parkside Drive,Baltimore,MD,21214,NA,45,07,08,06,003,27,CHURCH,NA,NA,NA,027-002
3,Baltimore City,37751,Engine House #42,4522 Harford RD,Baltimore,MD,21214,NA,45,07,08,06,003,27,FIRE STATION,NA,NA,NA,027-003
3,Baltimore City,37751,Engine House #42,4522 Harford RD,Baltimore,MD,21214,NA,45,07,08,06,003,27,FIRE STATION,NA,NA,NA,027-004
3,Baltimore City,36785,School No. 346 - Rear,5609 Sefton Avenue,Baltimore,MD,21214,NA,45,07,08,06,003,27,SCHOOL,NA,NA,NA,027-005
3,Baltimore City,37703,School #211 Gardenville Elem,5300 Belair RD,Baltimore,MD,21206,NA,45,07,08,06,002,27,SCHOOL,NA,NA,NA,027-006
3,Baltimore City,37712,School #235 Glenmount Elem/Mid,6211 Walther AVE,Baltimore,MD,21206,NA,45,07,08,06,002,27,SCHOOL,NA,NA,NA,027-007
3,Baltimore City,37712,School #235 Glenmount Elem/Mid,6211 Walther AVE,Baltimore,MD,21206,NA,45,07,08,06,002,27,SCHOOL,NA,NA,NA,027-008
3,Baltimore City,36786,Engine House No. 56,6512 Harford Road,Baltimore,MD,21234,NA,45,07,08,06,003,27,FIRE STATION,NA,NA,NA,027-009
3,Baltimore City,36787,Open Bible Baptist Church,3902 Overlea Avenue,Baltimore,MD,21206,NA,45,07,08,06,002,27,CHURCH,NA,NA,NA,027-010
3,Baltimore City,37196,Woodhome Recreation Center,7310 Moyer Avenue,Baltimore,MD,21234,NA,45,07,08,06,003,27,COMMUNITY CENTER,NA,NA,NA,027-011
3,Baltimore City,36942,North Harford Recreation Center,6800 Hamlet Ave,Baltimore,MD,21234,NA,45,07,08,06,003,27,COMMUNITY CENTER,NA,NA,NA,027-012
3,Baltimore City,37188,School No. 375,2500 East Northern Parkway,Baltimore,MD,21214,NA,45,07,08,06,003,27,SCHOOL,NA,NA,NA,027-013
3,Baltimore City,37189,School No. 236,6101 Old Harford Road,Baltimore,MD,21214,NA,45,07,08,06,003,27,SCHOOL,NA,NA,NA,027-014
3,Baltimore City,37190,School No. 413,2201 Pinewood Avenue,Baltimore,MD,21214,NA,45,07,08,06,003,27,SCHOOL,NA,NA,NA,027-015
3,Baltimore City,37704,School #212 Garrett Hgts Elem,2800 Ailsa AVE,Baltimore,MD,21214,NA,45,07,08,06,003,27,SCHOOL,NA,NA,NA,027-016
3,Baltimore City,37704,School #212 Garrett Hgts Elem,2800 Ailsa AVE,Baltimore,MD,21214,43A,43,07,08,06,003,27,SCHOOL,NA,NA,NA,027-017
3,Baltimore City,37751,Engine House #42,4522 Harford RD,Baltimore,MD,21214,NA,45,07,08,06,003,27,FIRE STATION,NA,NA,NA,027-018
3,Baltimore City,37705,School #219 Yorkwood Elem,5931 Yorkwood RD,Baltimore,MD,21239,NA,45,07,08,06,004,27,SCHOOL,NA,NA,NA,027-019
3,Baltimore City,37716,School #245 Leith Walk Elem Sch,1235 Sherwood Avenue,Baltimore,MD,21239,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-020
3,Baltimore City,37705,School #219 Yorkwood Elem,5931 Yorkwood RD,Baltimore,MD,21239,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-021
3,Baltimore City,37715,School #242 Northwood Elem,5201 Loch Raven BLVD,Baltimore,MD,21239,43A,43,07,08,06,003,27,SCHOOL,NA,NA,NA,027-022
3,Baltimore City,37715,School #242 Northwood Elem,5201 Loch Raven BLVD,Baltimore,MD,21239,43A,43,07,08,06,003,27,SCHOOL,NA,NA,NA,027-023
3,Baltimore City,37715,School #242 Northwood Elem,5201 Loch Raven BLVD,Baltimore,MD,21239,43A,43,07,08,06,003,27,SCHOOL,NA,NA,NA,027-024
3,Baltimore City,37754,Enoch Pratt Library Northwood,4420 Loch Raven Blvd,Baltimore,MD,21218,43A,43,07,08,06,003,27,LIBRARY,NA,NA,NA,027-025
3,Baltimore City,37748,The League For People With Disabilities,1111 E Coldspring Lane,Baltimore,MD,21239,43A,43,07,08,06,003,27,OTHER,NA,NA,NA,027-026
3,Baltimore City,37748,The League For People With Disabilities,1111 E Coldspring Lane,Baltimore,MD,21239,43A,43,07,08,06,004,27,OTHER,NA,NA,NA,027-027
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-028
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-029
3,Baltimore City,37715,School #242 Northwood Elem,5201 Loch Raven BLVD,Baltimore,MD,21239,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-030
3,Baltimore City,37716,School #245 Leith Walk Elem Sch,1235 Sherwood Avenue,Baltimore,MD,21239,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-031
3,Baltimore City,36788,Northside Baptist Church,1100 E. Northern Parkway,Baltimore,MD,21239,43A,43,07,08,06,004,27,CHURCH,NA,NA,NA,027-032
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-033
3,Baltimore City,36318,Deweese Recreation Center,5501 Ivanhoe Avenue,Baltimore,MD,21212,43A,43,07,08,06,004,27,COMMUNITY CENTER,NA,NA,NA,027-034
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-035
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-036
3,Baltimore City,37886,School #134 Walter P Carter Elem/Mid,820 E 43rd ST,Baltimore,MD,21212,43A,43,07,08,06,004,27,SCHOOL,NA,NA,NA,027-037
3,Baltimore City,36815,Govans Boundary United Methodist Church,5210 York Rd,Baltimore,MD,21212,43A,43,02,08,06,004,27,CHURCH,NA,NA,NA,027-038
3,Baltimore City,36816,St. Marys Church of Govans,5502 York Road,Baltimore,MD,21212,43A,43,02,08,06,004,27,CHURCH,NA,NA,NA,027-039
3,Baltimore City,36817,Grace United Methodist Church,5407 N Charles ST,Baltimore,MD,21210,NA,41,02,08,06,004,27,CHURCH,NA,NA,NA,027-040
3,Baltimore City,36817,Grace United Methodist Church,5407 N Charles ST,Baltimore,MD,21210,43A,43,02,08,06,004,27,CHURCH,NA,NA,NA,027-041
3,Baltimore City,37696,Roland Park Community Center,5802 Roland AVE,Baltimore,MD,21210,NA,41,02,08,06,005,27,CHURCH,NA,NA,NA,027-042
3,Baltimore City,36818,School No. 407,4600 Falls Road,Baltimore,MD,21209,NA,41,02,08,06,006,27,SCHOOL,NA,NA,NA,027-043
3,Baltimore City,36819,School No. 233,5207 Roland Avenue,Baltimore,MD,21210,NA,41,02,08,06,006,27,SCHOOL,NA,NA,NA,027-044
3,Baltimore City,37191,St. David's Church,4700 Roland Avenue,Baltimore,MD,21210,NA,41,02,08,06,006,27,CHURCH,NA,NA,NA,027-045
3,Baltimore City,37192,Bolton Street Synagogue,212 W Coldspring LN,Baltimore,MD,21210,NA,41,02,08,06,014,27,OTHER,NA,NA,NA,027-046
3,Baltimore City,37719,School #249 Medfield Heights Elem,4300 Buchanan AVE,Baltimore,MD,21211,NA,41,02,08,06,006,27,SCHOOL,NA,NA,NA,027-047
3,Baltimore City,36918,Ruscombe Garden Apartments,4800 Yellowwood Avenue,Baltimore,MD,21209,NA,41,07,08,06,006,27,OTHER,NA,NA,NA,027-048
3,Baltimore City,37926,School #221 Mt Washington,1801 Sulgrave Avenue,Baltimore,MD,21209,NA,41,02,08,06,005,27,SCHOOL,NA,NA,NA,027-049
3,Baltimore City,37686,Engine House #45,2700 Glen AVE,Baltimore,MD,21215,NA,41,07,08,06,005,27,FIRE STATION,NA,NA,NA,027-050
3,Baltimore City,36343,Levindale Home,2434 W. Belvedere Avenue,Baltimore,MD,21215,NA,41,07,08,06,005,27,OTHER,NA,NA,NA,027-051
3,Baltimore City,37707,School #223 Pimlico Elem,4849 Pimlico Road (Ent On Thorndale),Baltimore,MD,21215,NA,41,07,08,06,006,27,SCHOOL,NA,NA,NA,027-052
3,Baltimore City,36319,School No. 62,2835 Virginia Avenue,Baltimore,MD,21215,NA,40,07,08,06,006,27,SCHOOL,NA,NA,NA,027-053
3,Baltimore City,37197,C.C. Jackson Recreation Center,4910 Park Heights Avenue,Baltimore,MD,21215,NA,40,07,08,06,006,27,COMMUNITY CENTER,NA,NA,NA,027-054
3,Baltimore City,36881,School No 5 Langston Hughes Elem,5011 Arbutus Avenue,Baltimore,MD,21215,NA,41,07,08,06,006,27,SCHOOL,NA,NA,NA,027-055
3,Baltimore City,37682,Bel-Park Towers,3800 W Belvedere AVE,Baltimore,MD,21215,NA,41,07,08,06,006,27,SENIOR CENTER,NA,NA,NA,027-056
3,Baltimore City,37682,Bel-Park Towers,3800 W Belvedere AVE,Baltimore,MD,21215,NA,41,07,08,06,005,27,SENIOR CENTER,NA,NA,NA,027-057
3,Baltimore City,37707,School #223 Pimlico Elem,4849 Pimlico Road (Ent On Thorndale),Baltimore,MD,21215,NA,41,07,08,06,006,27,SCHOOL,NA,NA,NA,027-058
3,Baltimore City,37251,Public Safety Training Center,3500 W Northern PKWY (Enter On Manhattan AVE),Baltimore,MD,21215,NA,41,07,08,06,005,27,OTHER,NA,NA,EVC-4,027-059
3,Baltimore City,37251,Public Safety Training Center,3500 W Northern PKWY (Enter On Manhattan AVE),Baltimore,MD,21215,NA,41,07,08,06,005,27,OTHER,NA,NA,EVC-4,027-060
3,Baltimore City,37925,School #247 Cross Country Elementary,6100 Cross Country BLVD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-061
3,Baltimore City,37925,School #247 Cross Country Elementary,6100 Cross Country BLVD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-062
3,Baltimore City,37925,School #247 Cross Country Elementary,6100 Cross Country BLVD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-063
3,Baltimore City,37686,Engine House #45,2700 Glen AVE,Baltimore,MD,21215,NA,41,07,08,06,005,27,FIRE STATION,NA,NA,NA,027-064
3,Baltimore City,37925,School #247 Cross Country Elementary,6100 Cross Country BLVD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-065
3,Baltimore City,37925,School #247 Cross Country Elementary,6100 Cross Country BLVD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-066
3,Baltimore City,37714,School #241 Fallstaff Middle,3801 Fallstaff RD,Baltimore,MD,21215,NA,41,07,08,06,005,27,SCHOOL,NA,NA,NA,027-067
3,Baltimore City,37192,Bolton Street Synagogue,212 W Coldspring LN,Baltimore,MD,21210,NA,41,07,08,06,014,27,OTHER,NA,NA,NA,027-069
3,Baltimore City,37714,School #241 Fallstaff Middle,3801 Fallstaff RD,Baltimore,MD,21215,NA,41,07,08,06,005,28,SCHOOL,NA,NA,NA,028-001
3,Baltimore City,37727,School #406 Forest Park Senior  High,3701 Eldorado AVE (Enter On Belle AVE),Baltimore,MD,21207,NA,41,07,08,06,005,28,OTHER,NA,NA,NA,028-002
3,Baltimore City,37720,School #251 Callaway Elem,3701 Fernhill AVE,Baltimore,MD,21215,NA,41,07,08,06,006,28,SCHOOL,NA,NA,NA,028-003
3,Baltimore City,37727,School #406 Forest Park Senior  High,3701 Eldorado AVE (Enter On Belle AVE),Baltimore,MD,21207,NA,41,07,08,06,006,28,OTHER,NA,NA,NA,028-004
3,Baltimore City,37752,Forest Park Sr Citizen Ctr,4801 Liberty Hgts AVE,Baltimore,MD,21207,NA,41,07,08,06,005,28,SENIOR CENTER,NA,NA,NA,028-005
3,Baltimore City,37752,Forest Park Sr Citizen Ctr,4801 Liberty Hgts AVE,Baltimore,MD,21207,NA,41,07,08,06,008,28,SENIOR CENTER,NA,NA,NA,028-006
3,Baltimore City,37741,School #64 Liberty Elem,3901 Maine AVE,Baltimore,MD,21207,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-007
3,Baltimore City,37741,School #64 Liberty Elem,3901 Maine AVE,Baltimore,MD,21207,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-008
3,Baltimore City,36341,School No. 201,5025 Dickey Hill Road,Baltimore,MD,21207,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-009
3,Baltimore City,37711,School #232 Thomas Jefferson Elem,605 Dryden DR,Baltimore,MD,21229,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-010
3,Baltimore City,37711,School #232 Thomas Jefferson Elem,605 Dryden DR,Baltimore,MD,21229,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-011
3,Baltimore City,37711,School #232 Thomas Jefferson Elem,605 Dryden DR,Baltimore,MD,21229,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-012
3,Baltimore City,37252,Westside Skill Center - Athol Entrance,4501 Edmondson Ave,Baltimore,MD,21229,NA,41,07,08,06,008,28,COMMUNITY CENTER,NA,NA,EVC-1,028-013
3,Baltimore City,37717,School #246 Beechfield Elem,301 S Beechfield AVE,Baltimore,MD,21229,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-014
3,Baltimore City,37887,School #81 Northbend Elem/Mid,181 Northbend Road,Baltimore,MD,21229,NA,41,07,08,06,008,28,SCHOOL,NA,NA,NA,028-015
3,Baltimore City,37252,Westside Skill Center - Athol Entrance,4501 Edmondson Ave,Baltimore,MD,21229,NA,NA,NA,NA,NA,NA,NA,COMMUNITY CENTER,NA,NA,EVC-1,EVC
3,Baltimore City,37281,League for People with Disabilities,1111 East Cold Spring Lane,Baltimore,MD,21239,NA,NA,NA,NA,NA,NA,NA,COMMUNITY CENTER,NA,NA,EVC-2,EVC
3,Baltimore City,37282,Mount Pleasant Church & Ministries,6000 Radecke Avenue,Baltimore,MD,21206,NA,NA,NA,NA,NA,NA,NA,CHURCH,NA,NA,EVC-3,EVC
3,Baltimore City,37251,Public Safety Training Center,3500 W Northern PKWY (Enter On Manhattan AVE),Baltimore,MD,21215,NA,NA,NA,NA,NA,NA,NA,OTHER,NA,NA,EVC-4,EVC
3,Baltimore City,36887,Southeastern Anchor Library,3601 Eastern Avenue,Baltimore,MD,21224,NA,NA,NA,NA,NA,NA,NA,OTHER,NA,NA,EVC-5,EVC
3,Baltimore City,37340,James McHenry Recreation Center,911 Hollins ST,Baltimore,MD,21223,NA,NA,NA,NA,NA,NA,NA,COMMUNITY CENTER,NA,NA,EVC-6,EVC
3,Baltimore City,37387,Farring Baybrook Recreation Center,4501 Farring CT,Baltimore,MD,21225,NA,NA,NA,NA,NA,NA,NA,COMMUNITY CENTER,NA,NA,EVC-7,EVC
3,Baltimore City,37929,BCCC - South Pavillion,2600 Liberty Heights Avenue,Baltimore,MD,21215,NA,NA,NA,NA,NA,NA,NA,OTHER,NA,NA,EVC-8,EVC
4,Baltimore County,37601,"Woodlawn High School, Cafe",1801 Woodlawn Drive,Baltimore,MD,21207,44B,44,07,03,02,001,01,SCHOOL,NA,NA,NA,001-001
4,Baltimore County,37567,"Chadwick Elementary School, Gym",1918 Winder Road,Baltimore,MD,21244,NA,10,02,03,02,001,01,SCHOOL,NA,NA,NA,001-002
4,Baltimore County,36931,Woodbridge Elementary School - Gym,1410 Pleasant Valley Drive,Baltimore,MD,21228,44B,44,02,03,02,001,01,SCHOOL,NA,NA,NA,001-003
4,Baltimore County,36931,Woodbridge Elementary School - Cafeteria,1410 Pleasant Valley Drive,Baltimore,MD,21228,44B,44,02,03,02,001,01,SCHOOL,NA,NA,NA,001-004
4,Baltimore County,36363,Johnnycake Elementary School - Multipurpose Rm,5910 Craigmont Road,Baltimore,MD,21228,44B,44,07,03,02,001,01,SCHOOL,NA,NA,NA,001-005
4,Baltimore County,36361,Edmondson Heights Elementary School - Gym,1600 Langford Road,Baltimore,MD,21207,44B,44,07,03,02,001,01,SCHOOL,NA,NA,NA,001-006
4,Baltimore County,37017,Westowne Elementary School - Cafeteria,401 Harlem Lane,Baltimore,MD,21228,44A,44,07,03,02,001,01,SCHOOL,NA,NA,NA,001-007
4,Baltimore County,37017,Westowne Elementary School - Gym,401 Harlem Lane,Baltimore,MD,21228,44A,44,07,03,02,001,01,SCHOOL,NA,NA,NA,001-008
4,Baltimore County,37559,Banneker Community Center - Gym,27 Main AVE,Baltimore,MD,21228,44A,44,07,03,02,001,01,COMMUNITY CENTER,NA,NA,NA,001-009
4,Baltimore County,37579,Hillcrest Elementary School - Cafe,1500 Frederick RD,Baltimore,MD,21228,44B,44,02,03,02,001,01,SCHOOL,NA,NA,NA,001-010
