project_county_name,project_state,total
MARQUETTE,WI,1
MARSHALL,AL,8
MARSHALL,IA,2
MARSHALL,IL,2
MARSHALL,IN,2
MARSHALL,KS,1
MARSHALL,KY,5
MARSHALL,MS,38
MARSHALL,OK,1
MARSHALL,TN,5
MARTIN,FL,115
MARTIN,MN,1
MARTIN,TX,2
MARTINSVILLE CITY,VA,3
MASON,MI,2
MASON,TX,1
MASON,WA,7
MASSAC,IL,1
MATAGORDA,TX,7
MATANUSKA SUSITNA,AK,10
MAUI,HI,129
MAURY,TN,38
MAVERICK,TX,4
MAYES,OK,3
MCCLAIN,OK,3
MCCRACKEN,KY,9
MCCULLOCH,TX,1
MCCURTAIN,OK,3
MCDONALD,MO,1
MCDONOUGH,IL,4
MCDOWELL,WV,1
MCDUFFIE,GA,6
MCHENRY,IL,116
MCINTOSH,GA,3
MCINTOSH,OK,1
MCKEAN,PA,4
MCKINLEY,NM,2
MCLEAN,IL,25
MCLENNAN,TX,36
MCMINN,TN,7
MCNAIRY,TN,1
MCPHERSON,KS,3
MECKLENBURG,VA,7
MECOSTA,MI,1
MEDINA,OH,28
MEDINA,TX,5
MEEKER,MN,1
MENARD,TX,1
MENIFEE,KY,1
MERCER,KY,1
MERCER,NJ,140
MERCER,OH,1
MERCER,PA,10
MERCER,WV,6
MERIWETHER,GA,9
MERRIMACK,NH,8
MESA,CO,11
MIAMI,IN,10
MIAMI,OH,12
MIAMI-DADE,FL,6341
MIDDLESEX,CT,35
MIDDLESEX,MA,442
MIDDLESEX,NJ,619
MIDDLESEX,VA,3
MIDLAND,MI,8
MIDLAND,TX,84
MIFFLIN,PA,2
MILAM,TX,1
MILLE LACS,MN,1
MILLER,AR,2
MILLER,GA,1
MILLS,TX,1
MILWAUKEE,WI,439
MISSAUKEE,MI,2
MISSISSIPPI,AR,5
MISSISSIPPI,MO,2
MISSOULA,MT,7
MITCHELL,GA,18
MITCHELL,KS,1
MITCHELL,TX,3
MOBILE,AL,455
MOHAVE,AZ,26
MONITEAU,MO,1
MONMOUTH,NJ,487
MONONGALIA,WV,9
MONROE,AL,20
MONROE,AR,1
MONROE,FL,71
MONROE,GA,6
MONROE,IN,25
MONROE,MI,19
MONROE,MS,10
MONROE,NY,97
MONROE,OH,3
MONROE,PA,45
MONROE,TN,1
MONROE,WI,2
MONTAGUE,TX,2
MONTCALM,MI,5
MONTGOMERY,AL,105
MONTGOMERY,GA,2
MONTGOMERY,IN,3
MONTGOMERY,KS,2
MONTGOMERY,KY,1
MONTGOMERY,MD,777
MONTGOMERY,MO,1
MONTGOMERY,MS,3
MONTGOMERY,NY,12
MONTGOMERY,OH,98
MONTGOMERY,PA,262
MONTGOMERY,TN,34
MONTGOMERY,TX,229
MONTGOMERY,VA,11
MONTOUR,PA,1
MONTROSE,CO,6
MOREHOUSE,LA,10
MORGAN,AL,11
MORGAN,GA,10
MORGAN,IN,12
MORGAN,KY,1
MORGAN,MO,3
MORGAN,UT,1
MORGAN,WV,1
MORRIS,KS,2
MORRIS,NJ,336
MORROW,OH,2
MOULTRIE,IL,1
MULTNOMAH,OR,384
MURRAY,GA,2
MUSCATINE,IA,5
MUSCOGEE,GA,170
MUSKEGON,MI,6
MUSKINGUM,OH,8
MUSKOGEE,OK,9
"NACOGDOCHES",TX,5
"NANTUCKET",MA,4
"NASSAU",FL,30
"NASSAU",NY,1431
"NATCHITOCHES",LA,3
"NATRONA",WY,9
"NAVAJO",AZ,11
"NAVARRO",TX,6
NELSON,KY,3
NELSON,VA,1
NEOSHO,KS,1
NESHOBA,MS,5
NEVADA,AR,1
NEW CASTLE,DE,195
NEW HANOVER,NC,1
NEW HAVEN,CT,237
NEW KENT,VA,2
NEW LONDON,CT,63
NEW YORK,NY,2029
NEWAYGO,MI,1
NEWBERRY,SC,14
NEWPORT NEWS CITY,VA,29
NEWTON,AR,1
NEWTON,GA,115
NEWTON,MO,4
NEWTON,MS,3
NEWTON,TX,1
NEZ PERCE,ID,1
NIAGARA,NY,32
NICHOLAS,KY,1
NICHOLAS,WV,6
NICOLLET,MN,2
NOBLE,IN,5
NOBLE,OK,1
NODAWAY,MO,1
NOLAN,TX,1
NORFOLK,MA,238
NORFOLK CITY,VA,58
NORTH SLOPE,AK,1
NORTHAMPTON,PA,91
NORTHAMPTON,VA,3
NORTHUMBERLAND,PA,20
NORTHUMBERLAND,VA,3
NORTON,KS,1
NOTTOWAY,VA,1
NOWATA,OK,1
NOXUBEE,MS,3
NUECES,TX,62
OAKLAND,MI,546
OBION,TN,6
OCEAN,NJ,482
OCHILTREE,TX,4
OCONEE,GA,26
OCONEE,SC,15
OCONTO,WI,8
OGEMAW,MI,1
OGLE,IL,7
OGLETHORPE,GA,2
OHIO,IN,1
OHIO,WV,2
OKALOOSA,FL,101
OKANOGAN,WA,3
OKEECHOBEE,FL,25
OKFUSKEE,OK,1
OKLAHOMA,OK,215
OKMULGEE,OK,7
OKTIBBEHA,MS,31
OLDHAM,KY,8
OLMSTED,MN,9
ONEIDA,NY,35
ONEIDA,WI,4
ONONDAGA,NY,66
ONSLOW,NC,1
ONTARIO,NY,14
ORANGE,FL,2101
ORANGE,NY,235
ORANGE,TX,18
ORANGE,VA,9
ORANGEBURG,SC,64
ORLEANS,LA,388
ORLEANS,NY,3
OSAGE,KS,1
OSAGE,OK,1
OSCEOLA,FL,527
OSCEOLA,MI,1
OSCODA,MI,2
OSWEGO,NY,14
OTERO,CO,1
OTERO,NM,6
OTSEGO,MI,4
OTSEGO,NY,5
OTTAWA,MI,34
OTTAWA,OH,5
OTTAWA,OK,1
OTTER TAIL,MN,2
OUACHITA,AR,3
OUACHITA,LA,38
OUTAGAMIE,WI,124
OVERTON,TN,1
OWEN,IN,3
OWYHEE,ID,1
OXFORD,ME,6
OZAUKEE,WI,22
PACIFIC,WA,2
PAGE,VA,1
PALM BEACH,FL,2449
PALO PINTO,TX,6
PANOLA,MS,8
PANOLA,TX,7
PARK,CO,5
PARK,MT,4
PARK,WY,4
PARKE,IN,2
PARKER,TX,35
PASCO,FL,316
PASSAIC,NJ,401
PATRICK,VA,8
PAULDING,GA,88
PAWNEE,NE,1
PAWNEE,OK,2
PAYETTE,ID,2
PAYNE,OK,10
PEACH,GA,17
PEARL RIVER,MS,13
PEMISCOT,MO,1
PEND OREILLE,WA,2
PENDLETON,KY,1
PENOBSCOT,ME,8
PEORIA,IL,12
PERRY,AL,2
PERRY,AR,1
PERRY,IL,11
PERRY,MO,1
PERRY,OH,1
PERRY,PA,2
PERRY,TN,1
PETERSBURG,AK,2
PETERSBURG CITY,VA,21
PETTIS,MO,5
PHELPS,MO,2
PHILADELPHIA,PA,746
PHILLIPS,AR,1
PICKAWAY,OH,9
PICKENS,AL,2
PICKENS,GA,10
PICKENS,SC,33
PIERCE,GA,12
PIERCE,WA,253
PIERCE,WI,2
PIKE,AL,5
PIKE,GA,9
PIKE,IL,1
PIKE,KY,6
PIKE,MO,2
PIKE,MS,15
PIKE,OH,3
PIKE,PA,10
PIMA,AZ,230
PINAL,AZ,70
PINELLAS,FL,655
PISCATAQUIS,ME,1
PITKIN,CO,4
PITTSBURG,OK,2
PITTSYLVANIA,VA,11
PLAQUEMINES,LA,15
PLATTE,MO,27
PLATTE,NE,1
PLATTE,WY,1
PLEASANTS,WV,1
PLYMOUTH,IA,1
PLYMOUTH,MA,123
POCAHONTAS,WV,1
POINSETT,AR,2
POINTE COUPEE,LA,2
POLK,FL,593
POLK,GA,16
POLK,IA,126
POLK,MN,1
POLK,MO,1
POLK,OR,9
POLK,TN,1
POLK,TX,15
POLK,WI,2
PONTOTOC,MS,3
POPE,AR,13
POPE,IL,1
POQUOSON CITY,VA,2
PORTAGE,OH,27
PORTAGE,WI,4
PORTER,IN,24
PORTSMOUTH CITY,VA,33
POTTAWATOMIE,OK,7
POTTAWATTAMIE,IA,6
POTTER,PA,2
POTTER,TX,9
POWER,ID,2
POWESHIEK,IA,6
PRATT,KS,1
PREBLE,OH,8
PRENTISS,MS,2
PRESIDIO,TX,1
PRESTON,WV,3
PRICE,WI,2
PRINCE EDWARD,VA,3
PRINCE GEORGE,VA,2
PRINCE GEORGES,MD,743
PRINCE WILLIAM,VA,266
PROWERS,CO,3
PUEBLO,CO,34
PULASKI,AR,100
PULASKI,GA,11
PULASKI,IL,1
PULASKI,IN,4
PULASKI,KY,5
PULASKI,MO,5
PULASKI,VA,5
PUSHMATAHA,OK,1
PUTNAM,FL,25
PUTNAM,GA,21
PUTNAM,IL,1
PUTNAM,IN,2
PUTNAM,MO,1
PUTNAM,NY,54
PUTNAM,TN,14
PUTNAM,WV,9
QUEEN ANNES,MD,9
QUEENS,NY,2775
QUITMAN,GA,1
QUITMAN,MS,2
RABUN,GA,2
RACINE,WI,66
RADFORD,VA,4
RAINS,TX,1
RALEIGH,WV,11
RAMSEY,MN,92
RANDALL,TX,10
RANDOLPH,AL,13
RANDOLPH,GA,5
RANDOLPH,IL,3
RANDOLPH,IN,2
RANKIN,MS,29
RAPIDES,LA,34
RAVALLI,MT,2
RAY,MO,2
REEVES,TX,1
REFUGIO,TX,1
RENO,KS,5
RENSSELAER,NY,17
RENVILLE,MN,2
RHEA,TN,3
RICE,MN,6
RICHLAND,IL,10
RICHLAND,LA,1
RICHLAND,MT,2
RICHLAND,OH,10
RICHLAND,SC,246
RICHLAND,WI,1
RICHMOND,GA,100
RICHMOND,NY,292
RICHMOND CITY,VA,54
RILEY,KS,2
RINGGOLD,IA,1
RIO ARRIBA,NM,1
RIO GRANDE,CO,2
RIPLEY,IN,1
RITCHIE,WV,1
ROANE,TN,4
ROANOKE,VA,20
ROANOKE CITY,VA,29
ROBERTSON,KY,1
ROBERTSON,TN,40
ROBERTSON,TX,1
ROCK,WI,27
ROCK ISLAND,IL,23
ROCKCASTLE,KY,2
ROCKDALE,GA,207
ROCKINGHAM,NH,58
ROCKINGHAM,VA,12
ROCKLAND,NY,491
ROCKWALL,TX,78
ROGERS,OK,8
ROOSEVELT,MT,2
ROOSEVELT,NM,3
ROSS,OH,7
ROUTT,CO,4
ROWAN,KY,2
RUSH,IN,4
RUSK,TX,6
RUSSELL,AL,47
RUSSELL,VA,3
RUTHERFORD,TN,115
SABINE,LA,6
SABINE,TX,2
SAGADAHOC,ME,5
SAGINAW,MI,32
SAINT BERNARD,LA,24
SAINT CHARLES,LA,16
SAINT CHARLES,MO,43
SAINT CLAIR,AL,30
SAINT CLAIR,IL,33
SAINT CLAIR,MI,20
SAINT CLAIR,MO,1
SAINT CROIX,VI,2
SAINT CROIX,WI,3
SAINT FRANCIS,AR,3
SAINT FRANCOIS,MO,4
SAINT HELENA,LA,4
SAINT JAMES,LA,16
SAINT JOHN,VI,9
SAINT JOHNS,FL,151
SAINT JOSEPH,MI,11
SAINT LANDRY,LA,11
SAINT LAWRENCE,NY,4
SAINT LOUIS,MN,15
SAINT LOUIS,MO,236
SAINT LOUIS CITY,MO,100
SAINT LUCIE,FL,382
SAINT MARTIN,LA,22
SAINT MARY,LA,11
SAINT MARYS,MD,22
SAINT TAMMANY,LA,200
SAINT THOMAS,VI,1
SAINTE GENEVIEVE,MO,1
SALEM,NJ,8
SALEM,VA,7
SALINE,AR,20
SALT LAKE,UT,223
SALUDA,SC,1
SAN JACINTO,TX,7
SAN JUAN,NM,2
SAN JUAN,PR,3
SAN JUAN,WA,4
SAN MIGUEL,CO,4
SAN MIGUEL,NM,1
SAN PATRICIO,TX,7
SAN SABA,TX,1
SANDOVAL,NM,11
SANDUSKY,OH,4
SANGAMON,IL,20
SANILAC,MI,3
SANPETE,UT,1
SANTA BARBARA,CA,1
SANTA CLARA,CA,1
SANTA CRUZ,AZ,9
SANTA FE,NM,37
SANTA ROSA,FL,69
SARASOTA,FL,271
SARATOGA,NY,34
SARPY,NE,7
SAUK,WI,5
SCHENECTADY,NY,34
SCHLEY,GA,2
SCHOHARIE,NY,8
SCHUYLKILL,PA,19
SCIOTO,OH,5
SCOTT,IA,34
SCOTT,KY,9
SCOTT,MN,26
SCOTT,MO,2
SCOTT,MS,1
SCOTT,TN,4
SCREVEN,GA,1
SCURRY,TX,1
SEBASTIAN,AR,8
SEDGWICK,KS,171
SEMINOLE,FL,419
SEMINOLE,GA,10
SEMINOLE,OK,5
SENECA,NY,2
SENECA,OH,1
SEVIER,TN,12
SEWARD,NE,3
SHARP,AR,2
SHAWANO,WI,19
SHAWNEE,KS,10
SHEBOYGAN,WI,11
SHELBY,AL,76
SHELBY,IN,5
SHELBY,KY,9
SHELBY,OH,2
SHELBY,TN,989
SHELBY,TX,2
SHENANDOAH,VA,6
SHERBURNE,MN,10
SHERIDAN,WY,10
SHERMAN,KS,1
SHIAWASSEE,MI,1
SIMPSON,MS,2
SIOUX,IA,1
SITKA,AK,3
SKAGIT,WA,20
SKAMANIA,WA,1
SMITH,MS,3
SMITH,TN,3
SMITH,TX,34
SMYTH,VA,1
SNOHOMISH,WA,288
SNYDER,PA,14
SOCORRO,NM,2
SOMERSET,MD,7
SOMERSET,ME,2
SOMERSET,NJ,193
SOMERSET,PA,3
SOMERVELL,TX,1
SOUTHAMPTON,VA,1
SOUTHEAST FAIRBANKS,AK,1
SPALDING,GA,76
SPARTANBURG,SC,90
SPENCER,IN,1
SPOKANE,WA,57
SPOTSYLVANIA,VA,28
ST JOHN THE BAPTIST,LA,25
ST JOSEPH,IN,38
STAFFORD,VA,49
STARK,OH,103
STARKE,IN,5
STARR,TX,3
STAUNTON CITY,VA,6
STEARNS,MN,20
STEELE,MN,6
STEPHENS,GA,6
STEPHENS,OK,1
STEPHENSON,IL,6
STEUBEN,IN,5
STEUBEN,NY,2
STEVENS,KS,1
STEVENS,WA,4
STEWART,TN,3
STONE,MS,2
STORY,IA,10
STRAFFORD,NH,7
SUBLETTE,WY,3
SUFFOLK,MA,358
SUFFOLK,NY,1101
SUFFOLK CITY,VA,21
SULLIVAN,IN,2
SULLIVAN,NY,27
SULLIVAN,TN,29
SUMMIT,CO,17
SUMMIT,OH,154
SUMMIT,UT,15
SUMNER,TN,73
SUMTER,AL,7
SUMTER,FL,33
SUMTER,GA,40
SUMTER,SC,25
SUNFLOWER,MS,26
SUSQUEHANNA,PA,1
SUSSEX,DE,44
SUSSEX,NJ,116
SUSSEX,VA,1
SUWANNEE,FL,9
SWEET GRASS,MT,1
SWIFT,MN,1
TALBOT,GA,4
TALBOT,MD,10
TALLADEGA,AL,27
TALLAHATCHIE,MS,3
TALLAPOOSA,AL,7
TANEY,MO,7
TANGIPAHOA,LA,41
TAOS,NM,3
TARRANT,TX,962
TATE,MS,11
TATTNALL,GA,4
TAYLOR,FL,3
TAYLOR,GA,18
TAYLOR,KY,4
TAYLOR,TX,21
TAYLOR,WV,2
TAZEWELL,IL,5
TAZEWELL,VA,3
TELFAIR,GA,3
TELLER,CO,8
TERREBONNE,LA,40
TERRELL,GA,8
TERRY,TX,1
TETON,ID,1
TETON,WY,2
TEXAS,MO,1
TEXAS,OK,1
THOMAS,GA,9
THURSTON,WA,58
TIFT,GA,11
TILLAMOOK,OR,3
TIOGA,NY,2
TIPPAH,MS,2
TIPPECANOE,IN,17
TIPTON,IN,1
TIPTON,TN,15
TITUS,TX,2
TOLLAND,CT,51
TOM GREEN,TX,14
TOMPKINS,NY,11
TOOELE,UT,6
TOOMBS,GA,9
TORRANCE,NM,2
TOWNS,GA,4
TRAVIS,TX,594
TREGO,KS,1
TRINITY,TX,5
TROUP,GA,99
TROUSDALE,TN,2
TRUMBULL,OH,29
TULSA,OK,107
TUNICA,MS,3
TURNER,GA,3
TUSCALOOSA,AL,113
TUSCARAWAS,OH,9
TUSCOLA,MI,2
TWIGGS,GA,9
TWIN FALLS,ID,5
TYLER,TX,2
UINTA,WY,1
UINTAH,UT,3
ULSTER,NY,43
UMATILLA,OR,7
UNION,AR,4
UNION,FL,3
UNION,GA,10
UNION,IN,1
UNION,LA,5
UNION,MS,6
UNION,NJ,389
UNION,OH,7
UNION,OR,1
UNION,PA,3
UNION,TN,1
UPSHUR,TX,7
UPSON,GA,16
UTAH,UT,179
UVALDE,TX,1
VAL VERDE,TX,3
VALDEZ CORDOVA,AK,1
VALENCIA,NM,13
VALLEY,ID,1
VALLEY,MT,1
VALLEY,NE,1
VAN BUREN,AR,1
VAN BUREN,MI,12
VAN WERT,OH,1
VAN ZANDT,TX,2
VANDERBURGH,IN,23
VENANGO,PA,10
VERMILION,IL,3
VERMILION,LA,11
VERNON,LA,6
VICTORIA,TX,13
VIGO,IN,8
VILAS,WI,2
VIRGINIA BEACH CITY,VA,127
VOLUSIA,FL,325
WABASH,IL,1
WABASH,IN,11
WABAUNSEE,KS,1
WADENA,MN,2
WAGONER,OK,3
WAKE,NC,1
WAKULLA,FL,10
WALDO,ME,6
WALKER,AL,15
WALKER,GA,14
WALKER,TX,7
WALLA WALLA,WA,9
WALLER,TX,8
WALTHALL,MS,4
WALTON,FL,35
WALTON,GA,78
WALWORTH,WI,23
WAPELLO,IA,3
WARD,TX,1
WARE,GA,15
WARREN,IA,2
WARREN,KY,32
WARREN,MO,1
WARREN,MS,16
WARREN,NJ,56
WARREN,NY,2
WARREN,OH,29
WARREN,PA,9
WARREN,TN,3
WARREN,VA,8
WARRICK,IN,6
WASATCH,UT,2
WASCO,OR,2
WASECA,MN,2
WASHAKIE,WY,1
WASHBURN,WI,4
WASHINGTON,AL,4
WASHINGTON,AR,21
WASHINGTON,FL,6
WASHINGTON,GA,5
WASHINGTON,IN,1
WASHINGTON,KY,2
WASHINGTON,LA,52
WASHINGTON,MD,28
WASHINGTON,ME,4
WASHINGTON,MN,41
WASHINGTON,MO,1
WASHINGTON,MS,12
WASHINGTON,NE,1
WASHINGTON,NY,8
WASHINGTON,OH,1
WASHINGTON,OR,176
WASHINGTON,PA,47
WASHINGTON,TN,23
WASHINGTON,TX,2
WASHINGTON,UT,15
WASHINGTON,VA,2
WASHINGTON,WI,39
WASHTENAW,MI,67
WAUKESHA,WI,185
WAUPACA,WI,41
WAUSHARA,WI,7
WAYNE,GA,23
WAYNE,IL,1
WAYNE,IN,2
WAYNE,MI,847
WAYNE,MO,2
WAYNE,MS,13
WAYNE,NE,3
WAYNE,NY,14
WAYNE,OH,14
WAYNE,PA,6
WAYNE,TN,2
WAYNE,WV,2
WAYNESBORO CITY,VA,3
WEAKLEY,TN,2
WEBB,TX,102
WEBER,UT,39
WEBSTER,IA,6
WEBSTER,LA,25
WEBSTER,MS,3
WELD,CO,54
WELLS,IN,4
WEST BATON ROUGE,LA,5
WEST FELICIANA,LA,1
WESTCHESTER,NY,684
WESTMORELAND,PA,41
WESTMORELAND,VA,3
WESTON,WY,1
WHARTON,TX,9
WHATCOM,WA,38
WHITE,AR,7
WHITE,GA,1
WHITE,TN,2
WHITESIDE,IL,3
WHITFIELD,GA,10
WHITLEY,IN,2
WHITLEY,KY,3
WHITMAN,WA,1
WICHITA,TX,14
WICOMICO,MD,32
WILCOX,AL,1
WILCOX,GA,8
WILKES,GA,3
WILKIN,MN,1
WILKINSON,GA,8
WILKINSON,MS,1
WILL,IL,360
WILLACY,TX,4
WILLIAMS,OH,1
WILLIAMSBURG,SC,16
WILLIAMSBURG CITY,VA,7
WILLIAMSON,IL,9
WILLIAMSON,TN,143
WILLIAMSON,TX,261
WILSON,KS,1
WILSON,TN,36
WILSON,TX,11
WINCHESTER CITY,VA,5
WINDHAM,CT,19
WINDSOR,VT,2
WINKLER,TX,5
WINN,LA,1
WINNEBAGO,IA,1
WINNEBAGO,IL,98
WINNEBAGO,WI,88
WINNESHIEK,IA,1
WINONA,MN,3
WINSTON,AL,15
WINSTON,MS,3
WISE,TX,14
WISE,VA,2
WOOD,OH,13
WOOD,TX,5
WOOD,WI,8
WOOD,WV,7
WOODBURY,IA,6
WOODFORD,KY,6
WOODS,OK,1
WOODWARD,OK,1
WORCESTER,MA,130
WORCESTER,MD,12
WORTH,GA,5
WRIGHT,MN,14
WRIGHT,MO,3
WYANDOT,OH,3
WYANDOTTE,KS,21
WYOMING,NY,9
WYOMING,PA,1
WYTHE,VA,3
YAKIMA,WA,43
YAMHILL,OR,24
YATES,NY,1
YAVAPAI,AZ,52
YAZOO,MS,14
YELL,AR,1
YELLOWSTONE,MT,8
YOAKUM,TX,1
YORK,ME,11
YORK,PA,45
YORK,SC,103
YORK,VA,10
YOUNG,TX,1
YUMA,AZ,20
YUMA,CO,1
ZAPATA,TX,2
ZAVALA,TX,1
