project_county_name,project_state,total
GREGORY,SD,544
GRENADA,MS,809
GRIGGS,ND,225
GRIMES,TX,523
GRUNDY,IA,642
GRUNDY,IL,1081
GRUNDY,MO,343
GRUNDY,TN,363
GUADALUPE,NM,64
GUADALUPE,TX,2044
GUAM,GU,2410
GUANICA,PR,73
GUAYAMA,PR,281
GUAYANILLA,PR,132
GUAYNABO,PR,2998
GUERNSEY,OH,423
GUILFORD,NC,12313
GULF,FL,286
GUNNISON,CO,764
GURABO,PR,508
GUTHRIE,IA,768
GWINNETT,GA,39416
HAAKON,SD,281
HABERSHAM,GA,584
HAINES,AK,120
HALE,AL,675
HALE,TX,661
HALIFAX,NC,686
HALIFAX,VA,409
HALL,GA,3803
HALL,NE,2047
HALL,TX,100
HAMBLEN,TN,750
HAMILTON,FL,154
HAMILTON,IA,604
HAMILTON,IL,339
HAMILTON,IN,7639
HAMILTON,KS,215
HAMILTON,NE,709
HAMILTON,NY,94
HAMILTON,OH,21122
HAMILTON,TN,8060
HAMILTON,TX,299
HAMLIN,SD,459
HAMPDEN,MA,7326
HAMPSHIRE,MA,2915
HAMPSHIRE,WV,324
HAMPTON,SC,396
HAMPTON CITY,VA,2079
HANCOCK,GA,206
HANCOCK,IA,761
HANCOCK,IL,917
HANCOCK,IN,1175
HANCOCK,KY,149
HANCOCK,ME,2653
HANCOCK,MS,815
HANCOCK,OH,1443
HANCOCK,TN,105
HANCOCK,WV,323
HAND,SD,492
HANOVER,VA,2161
HANSFORD,TX,209
HANSON,SD,329
HARALSON,GA,353
HARDEE,FL,318
HARDEMAN,TN,619
HARDEMAN,TX,127
HARDIN,IA,945
HARDIN,IL,47
HARDIN,KY,1855
HARDIN,OH,469
HARDIN,TN,553
HARDIN,TX,637
HARDING,NM,8
HARDING,SD,227
HARDY,WV,264
HARFORD,MD,4272
HARLAN,KY,198
HARLAN,NE,341
HARMON,OK,203
HARNETT,NC,1426
HARNEY,OR,165
HARPER,KS,343
HARPER,OK,351
HARRIS,GA,611
HARRIS,TX,140884
HARRISON,IA,911
HARRISON,IN,473
HARRISON,KY,496
HARRISON,MO,502
HARRISON,MS,5220
HARRISON,OH,124
HARRISON,TX,1114
HARRISON,WV,1154
HARRISONBURG CITY,VA,1066
HART,GA,511
HART,KY,649
HARTFORD,CT,19115
HARTLEY,TX,165
HARVEY,KS,834
HASKELL,KS,259
HASKELL,OK,574
HASKELL,TX,270
HATILLO,PR,467
HAWAII,HI,3818
HAWKINS,TN,443
HAYES,NE,127
HAYS,TX,3758
HAYWOOD,NC,797
HAYWOOD,TN,487
HEARD,GA,126
HEMPHILL,TX,183
HEMPSTEAD,AR,559
HENDERSON,IL,288
HENDERSON,KY,803
HENDERSON,NC,1748
HENDERSON,TN,634
HENDERSON,TX,1194
HENDRICKS,IN,2998
HENDRY,FL,762
HENNEPIN,MN,35601
HENRICO,VA,7399
HENRY,AL,485
HENRY,GA,12076
HENRY,IA,732
HENRY,IL,1408
HENRY,IN,623
HENRY,KY,346
HENRY,MO,794
HENRY,OH,729
HENRY,TN,744
HENRY,VA,457
HERKIMER,NY,706
HERNANDO,FL,2806
HERTFORD,NC,362
HETTINGER,ND,255
HICKMAN,KY,142
HICKMAN,TN,278
HICKORY,MO,355
HIDALGO,NM,48
HIDALGO,TX,13710
HIGHLAND,OH,646
HIGHLAND,VA,41
HIGHLANDS,FL,1668
HILL,MT,416
HILL,TX,693
HILLSBOROUGH,FL,45524
HILLSBOROUGH,NH,8034
HILLSDALE,MI,666
HINDS,MS,8864
HINSDALE,CO,34
HITCHCOCK,NE,211
HOCKING,OH,329
HOCKLEY,TX,472
HODGEMAN,KS,241
HOKE,NC,556
HOLMES,FL,412
HOLMES,MS,658
HOLMES,OH,727
HOLT,MO,246
HOLT,NE,1456
HONOLULU,HI,20333
HOOD,TX,1075
HOOD RIVER,OR,887
HOOKER,NE,101
HOONAH ANGOON,AK,61
HOPEWELL CITY,VA,407
HOPKINS,KY,881
HOPKINS,TX,897
HORMIGUEROS,PR,183
HORRY,SC,7446
HOT SPRING,AR,389
HOT SPRINGS,WY,167
HOUGHTON,MI,476
HOUSTON,AL,3119
HOUSTON,GA,4269
HOUSTON,MN,725
HOUSTON,TN,189
HOUSTON,TX,492
HOWARD,AR,384
HOWARD,IA,693
HOWARD,IN,1404
HOWARD,MD,8146
HOWARD,MO,536
HOWARD,NE,546
HOWARD,TX,440
HOWELL,MO,1424
HUBBARD,MN,622
HUDSON,NJ,14680
HUDSPETH,TX,49
HUERFANO,CO,96
HUGHES,OK,428
HUGHES,SD,680
HUMACAO,PR,683
HUMBOLDT,CA,2088
HUMBOLDT,IA,636
HUMBOLDT,NV,219
HUMPHREYS,MS,321
HUMPHREYS,TN,332
HUNT,TX,1238
HUNTERDON,NJ,2908
HUNTINGDON,PA,473
HUNTINGTON,IN,749
HURON,MI,1351
HURON,OH,1025
HUTCHINSON,SD,825
HUTCHINSON,TX,301
HYDE,NC,115
HYDE,SD,153
IBERIA,LA,2627
IBERVILLE,LA,1219
IDA,IA,657
IDAHO,ID,382
IMPERIAL,CA,1608
INDEPENDENCE,AR,777
INDIAN RIVER,FL,3478
INDIANA,PA,1105
INGHAM,MI,5273
INYO,CA,285
IONIA,MI,675
IOSCO,MI,317
IOWA,IA,815
IOWA,WI,981
IREDELL,NC,3231
IRION,TX,53
IRON,MI,198
IRON,MO,175
IRON,UT,932
IRON,WI,138
IROQUOIS,IL,1360
IRWIN,GA,362
ISABELA,PR,415
ISABELLA,MI,1116
ISANTI,MN,688
ISLAND,WA,1179
ISLE OF WIGHT,VA,484
ISSAQUENA,MS,19
ITASCA,MN,945
ITAWAMBA,MS,476
IZARD,AR,304
JACK,TX,290
JACKSON,AL,959
JACKSON,AR,312
JACKSON,CO,38
JACKSON,FL,822
JACKSON,GA,1279
JACKSON,IA,1103
JACKSON,IL,1284
JACKSON,IN,688
JACKSON,KS,708
JACKSON,KY,230
JACKSON,LA,227
JACKSON,MI,2084
JACKSON,MN,813
JACKSON,MO,15947
JACKSON,MS,3003
JACKSON,NC,563
JACKSON,OH,389
JACKSON,OK,912
JACKSON,OR,4385
JACKSON,SD,312
JACKSON,TN,182
JACKSON,TX,281
JACKSON,WI,478
JACKSON,WV,340
JAMES CITY,VA,1430
JASPER,GA,330
JASPER,IA,1092
JASPER,IL,737
JASPER,IN,677
JASPER,MO,2586
JASPER,MS,363
JASPER,SC,602
JASPER,TX,474
JAY,IN,449
JAYUYA,PR,107
JEFF DAVIS,GA,338
JEFF DAVIS,TX,47
JEFFERSON,AL,19448
JEFFERSON,AR,1817
JEFFERSON,CO,12653
JEFFERSON,FL,254
JEFFERSON,GA,407
JEFFERSON,IA,803
JEFFERSON,ID,669
JEFFERSON,IL,1241
JEFFERSON,IN,482
JEFFERSON,KS,511
JEFFERSON,KY,15789
JEFFERSON,LA,16407
JEFFERSON,MO,2858
JEFFERSON,MS,200
JEFFERSON,MT,224
JEFFERSON,NE,481
JEFFERSON,NY,1903
JEFFERSON,OH,685
JEFFERSON,OK,221
JEFFERSON,OR,304
JEFFERSON,PA,605
JEFFERSON,TN,578
JEFFERSON,TX,5640
JEFFERSON,WA,621
JEFFERSON,WI,1496
JEFFERSON,WV,721
JEFFERSON DAVIS,LA,605
JEFFERSON DAVIS,MS,276
JENKINS,GA,198
JENNINGS,IN,287
JERAULD,SD,305
JEROME,ID,418
JERSEY,IL,612
JESSAMINE,KY,1073
JEWELL,KS,324
JIM HOGG,TX,53
JIM WELLS,TX,666
JO DAVIESS,IL,1054
JOHNSON,AR,362
JOHNSON,GA,320
JOHNSON,IA,3428
JOHNSON,IL,286
JOHNSON,IN,2538
JOHNSON,KS,14809
JOHNSON,KY,180
JOHNSON,MO,1154
JOHNSON,NE,233
JOHNSON,TN,230
JOHNSON,TX,2713
JOHNSON,WY,466
JOHNSTON,NC,2588
JOHNSTON,OK,279
JONES,GA,497
JONES,IA,995
JONES,MS,1511
JONES,NC,133
JONES,SD,163
JONES,TX,385
JOSEPHINE,OR,1214
JUAB,UT,195
JUANA DIAZ,PR,285
JUDITH BASIN,MT,211
JUNCOS,PR,272
JUNEAU,AK,812
JUNEAU,WI,626
JUNIATA,PA,298
KALAMAZOO,MI,5047
KALKASKA,MI,202
KANABEC,MN,321
KANAWHA,WV,2995
KANDIYOHI,MN,1616
KANE,IL,12072
KANE,UT,231
KANKAKEE,IL,2562
KARNES,TX,194
KAUAI,HI,1972
KAUFMAN,TX,2626
KAY,OK,1215
KEARNEY,NE,408
KEARNY,KS,241
KEITH,NE,485
KEMPER,MS,250
KENAI PENINSULA,AK,1779
KENDALL,IL,3022
KENDALL,TX,1270
KENEDY,TX,5
KENNEBEC,ME,1940
KENOSHA,WI,2706
KENT,DE,2708
KENT,MD,473
KENT,MI,13061
KENT,RI,3700
KENT,TX,28
KENTON,KY,2358
KEOKUK,IA,772
KERN,CA,11355
KERR,TX,1045
KERSHAW,SC,1144
KETCHIKAN GATEWAY,AK,539
KEWAUNEE,WI,576
KEWEENAW,MI,41
KEYA PAHA,NE,179
KIDDER,ND,308
KIMBALL,NE,193
KIMBLE,TX,135
KING,TX,3
KING,WA,52876
KING AND QUEEN,VA,72
KING GEORGE,VA,236
KING WILLIAM,VA,213
KINGFISHER,OK,1030
KINGMAN,KS,454
KINGS,CA,1223
KINGS,NY,74450
KINGSBURY,SD,557
KINNEY,TX,26
KIOWA,CO,155
KIOWA,KS,201
KIOWA,OK,519
KIT CARSON,CO,586
KITSAP,WA,3627
KITTITAS,WA,815
KITTSON,MN,385
KLAMATH,OR,999
KLEBERG,TX,367
KLICKITAT,WA,377
KNOTT,KY,91
KNOX,IL,1247
KNOX,IN,752
KNOX,KY,362
KNOX,ME,1723
KNOX,MO,346
KNOX,NE,1045
KNOX,OH,798
KNOX,TN,9349
KNOX,TX,150
KODIAK ISLAND,AK,610
KOOCHICHING,MN,261
KOOTENAI,ID,3375
KOSCIUSKO,IN,1190
KOSSUTH,IA,1602
Kusilvak,AK,3
LA CROSSE,WI,2545
LA PAZ,AZ,144
LA PLATA,CO,1841
LA PORTE,IN,2110
LA SALLE,IL,2400
LA SALLE,LA,341
LA SALLE,TX,45
LABETTE,KS,659
LAC QUI PARLE,MN,770
LACKAWANNA,PA,4293
LACLEDE,MO,1211
LAFAYETTE,AR,159
LAFAYETTE,FL,101
LAFAYETTE,LA,9221
LAFAYETTE,MO,964
LAFAYETTE,MS,1745
LAFAYETTE,WI,879
LAFOURCHE,LA,3600
LAGRANGE,IN,384
LAJAS,PR,174
LAKE,CA,683
LAKE,CO,112
LAKE,FL,7510
LAKE,IL,17341
LAKE,IN,15429
LAKE,MI,106
LAKE,MN,181
LAKE,MT,746
LAKE,OH,4385
LAKE,OR,149
LAKE,SD,670
LAKE,TN,78
LAKE AND PENINSULA,AK,37
LAKE OF THE WOODS,MN,144
LAMAR,AL,254
LAMAR,GA,570
LAMAR,MS,1652
LAMAR,TX,1113
LAMB,TX,328
LAMOILLE,VT,745
LAMOURE,ND,536
LAMPASAS,TX,359
LANCASTER,NE,7171
LANCASTER,PA,8678
LANCASTER,SC,1253
LANCASTER,VA,358
LANDER,NV,49
LANE,KS,193
LANE,OR,6214
LANGLADE,WI,426
LANIER,GA,170
LAPEER,MI,1251
LARAMIE,WY,2159
LARES,PR,205
LARIMER,CO,8041
LARUE,KY,424
LAS ANIMAS,CO,266
LAS MARIAS,PR,42
LAS PIEDRAS,PR,266
LASSEN,CA,245
LATAH,ID,684
LATIMER,OK,284
LAUDERDALE,AL,2049
LAUDERDALE,MS,1849
LAUDERDALE,TN,422
LAUREL,KY,1079
LAURENS,GA,1878
LAURENS,SC,833
LAVACA,TX,732
LAWRENCE,AL,543
LAWRENCE,AR,435
LAWRENCE,IL,354
LAWRENCE,IN,579
LAWRENCE,KY,128
LAWRENCE,MO,1277
LAWRENCE,MS,299
LAWRENCE,OH,576
LAWRENCE,PA,1288
LAWRENCE,SD,902
LAWRENCE,TN,846
LE FLORE,OK,1295
LE SUEUR,MN,896
LEA,NM,1436
LEAKE,MS,473
LEAVENWORTH,KS,1192
LEBANON,PA,1641
LEE,AL,3122
LEE,AR,293
LEE,FL,18475
LEE,GA,807
LEE,IA,1120
LEE,IL,960
LEE,KY,81
LEE,MS,3250
LEE,NC,781
LEE,SC,375
LEE,TX,558
LEE,VA,314
LEELANAU,MI,551
LEFLORE,MS,1260
LEHIGH,PA,6436
LEMHI,ID,181
LENAWEE,MI,1310
LENOIR,NC,864
LEON,FL,7803
LEON,TX,470
LESLIE,KY,39
LETCHER,KY,173
LEVY,FL,723
LEWIS,ID,127
LEWIS,KY,335
LEWIS,MO,444
LEWIS,NY,294
LEWIS,TN,209
LEWIS,WA,965
LEWIS,WV,227
LEWIS AND CLARK,MT,1640
LEXINGTON,SC,5436
LEXINGTON CITY,VA,223
LIBERTY,FL,88
LIBERTY,GA,1222
LIBERTY,MT,131
LIBERTY,TX,1085
LICKING,OH,2358
LIMESTONE,AL,1486
LIMESTONE,TX,613
LINCOLN,AR,310
LINCOLN,CO,231
LINCOLN,GA,172
LINCOLN,ID,92
LINCOLN,KS,341
LINCOLN,KY,464
LINCOLN,LA,1354
LINCOLN,ME,1125
LINCOLN,MN,624
LINCOLN,MO,1048
LINCOLN,MS,1129
LINCOLN,MT,395
LINCOLN,NC,1113
LINCOLN,NE,1415
LINCOLN,NM,411
LINCOLN,NV,48
LINCOLN,OK,1029
LINCOLN,OR,1015
LINCOLN,SD,2246
LINCOLN,TN,800
LINCOLN,WA,246
LINCOLN,WI,522
LINCOLN,WV,72
LINCOLN,WY,422
LINN,IA,5342
LINN,KS,397
LINN,MO,629
LINN,OR,1564
LIPSCOMB,TX,190
LITCHFIELD,CT,4356
LITTLE RIVER,AR,226
LIVE OAK,TX,324
LIVINGSTON,IL,1296
LIVINGSTON,KY,174
LIVINGSTON,LA,2249
LIVINGSTON,MI,3020
LIVINGSTON,MO,497
LIVINGSTON,NY,843
LLANO,TX,364
LOGAN,AR,505
LOGAN,CO,786
LOGAN,IL,686
LOGAN,KS,293
LOGAN,KY,675
LOGAN,ND,282
LOGAN,NE,87
LOGAN,OH,726
LOGAN,OK,911
LOGAN,WV,338
LOIZA,PR,69
LONG,GA,185
LONOKE,AR,1043
LORAIN,OH,5005
LOS ALAMOS,NM,206
LOS ANGELES,CA,300032
LOUDON,TN,774
LOUDOUN,VA,8903
LOUISA,IA,444
LOUISA,VA,360
LOUP,NE,96
LOVE,OK,257
LOWNDES,AL,278
LOWNDES,GA,3327
LOWNDES,MS,2260
LUBBOCK,TX,6320
LUCAS,IA,345
LUCAS,OH,11801
LUCE,MI,60
LUMPKIN,GA,351
LUNA,NM,386
LUNENBURG,VA,135
LUQUILLO,PR,198
LUZERNE,PA,5180
LYCOMING,PA,1794
LYMAN,SD,374
LYNCHBURG CITY,VA,1466
LYNN,TX,138
LYON,IA,1066
LYON,KS,860
LYON,KY,143
LYON,MN,1524
LYON,NV,485
MACKINAC,MI,292
MACOMB,MI,17819
MACON,AL,389
MACON,GA,359
MACON,IL,2602
MACON,MO,589
MACON,NC,616
MACON,TN,724
MACOUPIN,IL,1267
MADERA,CA,1629
MADISON,AL,8165
MADISON,AR,432
MADISON,FL,282
MADISON,GA,415
MADISON,IA,719
MADISON,ID,729
MADISON,IL,5298
MADISON,IN,1592
MADISON,KY,1491
MADISON,LA,453
MADISON,MO,366
MADISON,MS,4907
MADISON,MT,282
MADISON,NC,181
MADISON,NE,1876
MADISON,NY,894
MADISON,OH,716
MADISON,TN,2445
MADISON,TX,292
MADISON,VA,198
MAGOFFIN,KY,114
MAHASKA,IA,801
MAHNOMEN,MN,162
MAHONING,OH,5844
MAJOR,OK,656
MALHEUR,OR,670
MANASSAS CITY,VA,1029
MANASSAS PARK CITY,VA,197
MANATEE,FL,8187
MANATI,PR,559
MANISTEE,MI,303
MANITOWOC,WI,1430
MARATHON,WI,2661
MARENGO,AL,620
MARICAO,PR,21
MARICOPA,AZ,86583
MARIES,MO,517
MARIN,CA,9588
MARINETTE,WI,737
MARION,AL,515
MARION,AR,294
MARION,FL,6551
MARION,GA,169
MARION,IA,986
MARION,IL,1015
MARION,IN,25308
MARION,KS,616
MARION,KY,838
MARION,MO,740
MARION,MS,816
MARION,OH,825
MARION,OR,5229
MARION,SC,503
MARION,TN,436
MARION,TX,149
MARION,WV,705
MARIPOSA,CA,158
MARLBORO,SC,339
MARQUETTE,MI,1101
MARQUETTE,WI,247
MARSHALL,AL,1869
MARSHALL,IA,929
MARSHALL,IL,365
MARSHALL,IN,842
MARSHALL,KS,1047
MARSHALL,KY,555
MARSHALL,MN,780
MARSHALL,MS,1651
MARSHALL,OK,313
MARSHALL,SD,443
MARSHALL,TN,488
MARSHALL,WV,221
MARTIN,FL,4209
MARTIN,IN,138
MARTIN,KY,63
MARTIN,MN,1185
MARTIN,NC,363
MARTIN,TX,90
MARTINSVILLE CITY,VA,235
MASON,IL,461
MASON,KY,483
MASON,MI,568
MASON,TX,262
MASON,WA,555
MASON,WV,187
MASSAC,IL,313
MATAGORDA,TX,677
MATANUSKA SUSITNA,AK,1645
MATHEWS,VA,148
MAUI,HI,4478
MAUNABO,PR,44
MAURY,TN,1701
MAVERICK,TX,616
MAYAGUEZ,PR,1215
MAYES,OK,764
MCCLAIN,OK,1037
MCCONE,MT,194
MCCOOK,SD,459
MCCORMICK,SC,105
MCCRACKEN,KY,1591
MCCREARY,KY,169
MCCULLOCH,TX,397
MCCURTAIN,OK,1032
MCDONALD,MO,473
MCDONOUGH,IL,882
MCDOWELL,NC,490
MCDOWELL,WV,104
MCDUFFIE,GA,437
MCHENRY,IL,6435
MCHENRY,ND,563
MCINTOSH,GA,265
MCINTOSH,ND,326
MCINTOSH,OK,707
MCKEAN,PA,524
MCKENZIE,ND,586
MCKINLEY,NM,487
MCLEAN,IL,4112
MCLEAN,KY,268
MCLEAN,ND,652
MCLENNAN,TX,4454
MCLEOD,MN,1201
MCMINN,TN,745
MCMULLEN,TX,21
MCNAIRY,TN,439
MCPHERSON,KS,1207
MCPHERSON,NE,63
MCPHERSON,SD,259
MEADE,KS,281
MEADE,KY,493
MEADE,SD,966
MEAGHER,MT,71
MECKLENBURG,NC,30474
MECKLENBURG,VA,510
MECOSTA,MI,408
MEDINA,OH,3024
MEDINA,TX,746
MEEKER,MN,868
MEIGS,OH,277
MEIGS,TN,132
MELLETTE,SD,162
MENARD,IL,323
MENARD,TX,63
MENDOCINO,CA,1444
MENIFEE,KY,153
MENOMINEE,MI,436
MENOMINEE,WI,17
MERCED,CA,2748
MERCER,IL,626
MERCER,KY,482
MERCER,MO,238
MERCER,ND,338
MERCER,NJ,8106
MERCER,OH,1665
MERCER,PA,1773
MERCER,WV,794
MERIWETHER,GA,725
MERRICK,NE,639
MERRIMACK,NH,2994
MESA,CO,3069
METCALFE,KY,381
MIAMI,IN,444
MIAMI,KS,762
MIAMI,OH,1742
MIAMI-DADE,FL,152811
MIDDLESEX,CT,3709
MIDDLESEX,MA,36631
MIDDLESEX,NJ,18533
MIDDLESEX,VA,216
MIDLAND,MI,1133
MIDLAND,TX,4799
MIFFLIN,PA,579
MILAM,TX,604
MILLARD,UT,256
MILLE LACS,MN,660
MILLER,AR,814
MILLER,GA,206
MILLER,MO,994
MILLS,IA,366
MILLS,TX,296
MILWAUKEE,WI,22435
MINER,SD,314
MINERAL,CO,42
MINERAL,MT,85
MINERAL,NV,28
MINERAL,WV,334
MINGO,WV,239
MINIDOKA,ID,414
MINNEHAHA,SD,5853
MISSAUKEE,MI,209
MISSISSIPPI,AR,1350
MISSISSIPPI,MO,369
MISSOULA,MT,3341
MITCHELL,GA,1062
MITCHELL,IA,797
MITCHELL,KS,538
MITCHELL,NC,178
MITCHELL,TX,100
MOBILE,AL,14136
MOCA,PR,373
MODOC,CA,147
MOFFAT,CO,214
MOHAVE,AZ,2238
MONITEAU,MO,671
MONMOUTH,NJ,16473
MONO,CA,420
MONONA,IA,618
MONONGALIA,WV,1729
MONROE,AL,568
MONROE,AR,282
MONROE,FL,4222
MONROE,GA,781
MONROE,IA,441
MONROE,IL,910
MONROE,IN,2054
MONROE,KY,517
MONROE,MI,1723
MONROE,MO,439
MONROE,MS,1350
MONROE,NY,14756
MONROE,OH,107
MONROE,PA,2620
MONROE,TN,884
MONROE,WI,1041
MONROE,WV,203
MONTAGUE,TX,446
MONTCALM,MI,725
MONTEREY,CA,6188
MONTEZUMA,CO,653
MONTGOMERY,AL,6762
MONTGOMERY,AR,198
MONTGOMERY,GA,178
MONTGOMERY,IA,489
MONTGOMERY,IL,921
MONTGOMERY,IN,691
MONTGOMERY,KS,653
MONTGOMERY,KY,582
MONTGOMERY,MD,26284
MONTGOMERY,MO,466
MONTGOMERY,MS,345
MONTGOMERY,NC,327
MONTGOMERY,NY,672
MONTGOMERY,OH,11354
MONTGOMERY,PA,20293
MONTGOMERY,TN,3639
MONTGOMERY,TX,12211
MONTGOMERY,VA,1176
MONTMORENCY,MI,92
MONTOUR,PA,225
MONTROSE,CO,893
MOODY,SD,371
MOORE,NC,1489
MOORE,TN,123
MOORE,TX,388
MORA,NM,32
MOREHOUSE,LA,627
MORGAN,AL,2533
MORGAN,CO,806
MORGAN,GA,630
MORGAN,IL,980
MORGAN,IN,891
MORGAN,KY,271
MORGAN,MO,644
MORGAN,OH,141
MORGAN,TN,208
MORGAN,UT,224
MORGAN,WV,236
MOROVIS,PR,258
MORRILL,NE,237
MORRIS,KS,345
MORRIS,NJ,12835
MORRIS,TX,245
MORRISON,MN,1341
MORROW,OH,397
MORROW,OR,172
MORTON,KS,145
MORTON,ND,1228
MOTLEY,TX,44
MOULTRIE,IL,348
MOUNTRAIL,ND,549
MOWER,MN,1217
MUHLENBERG,KY,544
MULTNOMAH,OR,21199
MURRAY,GA,332
MURRAY,MN,880
MURRAY,OK,396
MUSCATINE,IA,1029
MUSCOGEE,GA,7003
MUSKEGON,MI,2280
MUSKINGUM,OH,1243
MUSKOGEE,OK,1655
MUSSELSHELL,MT,143
"NACOGDOCHES",TX,1245
"NAGUABO",PR,146
"NANCE",NE,271
"NANTUCKET",MA,932
"NAPA",CA,3588
"NARANJITO",PR,326
"NASH",NC,1475
"NASSAU",FL,1484
"NASSAU",NY,45053
"NATCHITOCHES",LA,842
"NATRONA",WY,2141
"NAVAJO",AZ,759
"NAVARRO",TX,999
NELSON,KY,1031
NELSON,ND,260
NELSON,VA,252
NEMAHA,KS,1000
NEMAHA,NE,417
NEOSHO,KS,567
NESHOBA,MS,634
NESS,KS,399
NEVADA,AR,186
NEVADA,CA,2248
NEW CASTLE,DE,12588
NEW HANOVER,NC,5423
NEW HAVEN,CT,18738
NEW KENT,VA,283
NEW LONDON,CT,4624
NEW MADRID,MO,331
NEW YORK,NY,85813
NEWAYGO,MI,469
NEWBERRY,SC,679
NEWPORT,RI,2193
NEWPORT NEWS CITY,VA,2939
NEWTON,AR,233
NEWTON,GA,4954
NEWTON,IN,305
NEWTON,MO,1271
NEWTON,MS,466
NEWTON,TX,173
NEZ PERCE,ID,725
NIAGARA,NY,3252
NICHOLAS,KY,208
NICHOLAS,WV,246
NICOLLET,MN,1111
NIOBRARA,WY,157
NOBLE,IN,717
NOBLE,OH,119
NOBLE,OK,441
NOBLES,MN,1122
NODAWAY,MO,799
NOLAN,TX,284
NOME,AK,51
NORFOLK,MA,17518
NORFOLK CITY,VA,3984
NORMAN,MN,410
NORTH SLOPE,AK,34
NORTHAMPTON,NC,273
NORTHAMPTON,PA,4986
NORTHAMPTON,VA,223
NORTHERN MARIANA ISLANDS,MP,77
NORTHUMBERLAND,PA,1076
NORTHUMBERLAND,VA,256
NORTHWEST ARCTIC,AK,14
NORTON,KS,387
NORTON CITY,VA,108
NOTTOWAY,VA,251
NOWATA,OK,342
NOXUBEE,MS,967
NUCKOLLS,NE,360
NUECES,TX,5908
NYE,NV,468
OAKLAND,MI,35628
OBION,TN,798
OBRIEN,IA,1130
OCEAN,NJ,11936
OCEANA,MI,365
OCHILTREE,TX,482
OCONEE,GA,1017
OCONEE,SC,806
OCONTO,WI,679
OGEMAW,MI,332
OGLE,IL,1373
OGLETHORPE,GA,250
OHIO,IN,59
OHIO,KY,518
OHIO,WV,895
OKALOOSA,FL,4477
OKANOGAN,WA,760
OKEECHOBEE,FL,594
OKFUSKEE,OK,376
OKLAHOMA,OK,21806
OKMULGEE,OK,763
OKTIBBEHA,MS,1608
OLDHAM,KY,940
OLDHAM,TX,66
OLIVER,ND,145
OLMSTED,MN,3512
ONEIDA,ID,97
ONEIDA,NY,3482
ONEIDA,WI,929
ONONDAGA,NY,9067
ONSLOW,NC,2033
ONTARIO,NY,2197
ONTONAGON,MI,90
ORANGE,CA,85514
ORANGE,FL,54231
ORANGE,IN,299
ORANGE,NC,2370
ORANGE,NY,7523
ORANGE,TX,1077
ORANGE,VA,450
ORANGE,VT,569
ORANGEBURG,SC,1894
OREGON,MO,424
ORLEANS,LA,18256
ORLEANS,NY,522
ORLEANS,VT,654
OROCOVIS,PR,162
OSAGE,KS,467
OSAGE,MO,876
OSAGE,OK,859
OSBORNE,KS,328
OSCEOLA,FL,11758
OSCEOLA,IA,552
OSCEOLA,MI,231
OSCODA,MI,89
OSWEGO,NY,1377
OTERO,CO,491
OTERO,NM,609
OTOE,NE,809
OTSEGO,MI,466
OTSEGO,NY,849
OTTAWA,KS,399
OTTAWA,MI,4935
OTTAWA,OH,968
OTTAWA,OK,844
OTTER TAIL,MN,2265
OUACHITA,AR,398
OUACHITA,LA,5248
OURAY,CO,266
OUTAGAMIE,WI,3948
OVERTON,TN,768
OWEN,IN,272
OWEN,KY,241
OWSLEY,KY,43
OWYHEE,ID,180
OXFORD,ME,815
OZARK,MO,530
OZAUKEE,WI,2174
PACIFIC,WA,391
PAGE,IA,705
PAGE,VA,506
PALM BEACH,FL,59740
PALO ALTO,IA,751
PALO PINTO,TX,456
PAMLICO,NC,167
PANOLA,MS,1587
PANOLA,TX,528
PARK,CO,296
PARK,MT,566
PARK,WY,1124
PARKE,IN,258
PARKER,TX,2533
PARMER,TX,235
PASCO,FL,9773
PASQUOTANK,NC,613
PASSAIC,NJ,12242
PATILLAS,PR,55
PATRICK,VA,192
PAULDING,GA,3718
PAULDING,OH,399
PAWNEE,KS,287
PAWNEE,NE,195
PAWNEE,OK,480
PAYETTE,ID,392
PAYNE,OK,1895
PEACH,GA,825
PEARL RIVER,MS,1275
PECOS,TX,313
PEMBINA,ND,504
PEMISCOT,MO,358
PEND OREILLE,WA,112
PENDER,NC,808
PENDLETON,KY,204
PENDLETON,WV,207
PENNINGTON,MN,517
PENNINGTON,SD,3032
PENOBSCOT,ME,2826
PENUELAS,PR,98
PEORIA,IL,4926
PEPIN,WI,310
PERKINS,NE,302
PERKINS,SD,352
PERQUIMANS,NC,166
PERRY,AL,368
PERRY,AR,144
PERRY,IL,393
PERRY,IN,257
PERRY,KY,267
PERRY,MO,687
PERRY,MS,179
PERRY,OH,344
PERRY,PA,503
PERRY,TN,160
PERSHING,NV,36
PERSON,NC,435
PETERSBURG,AK,444
PETERSBURG CITY,VA,1018
PETROLEUM,MT,37
PETTIS,MO,1179
PHELPS,MO,1206
PHELPS,NE,780
PHILADELPHIA,PA,42202
PHILLIPS,AR,544
PHILLIPS,CO,331
PHILLIPS,KS,554
PHILLIPS,MT,352
PIATT,IL,408
PICKAWAY,OH,740
PICKENS,AL,412
PICKENS,GA,776
PICKENS,SC,1443
PICKETT,TN,295
PIERCE,GA,380
PIERCE,ND,402
PIERCE,NE,729
PIERCE,WA,12436
PIERCE,WI,984
PIKE,AL,788
PIKE,AR,314
PIKE,GA,379
PIKE,IL,840
PIKE,IN,129
PIKE,KY,778
PIKE,MO,551
